19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
170  ,500  ,-2.5  ,500  ,2.91242e-004
283  ,500  ,2.5  ,-500  ,2.91231e-004
31502  ,500  ,5.58794e-008  ,500  ,2.91230e-004
30977  ,500  ,5.58794e-008  ,-500  ,2.91229e-004
282  ,500  ,-2.5  ,-500  ,2.91228e-004
171  ,500  ,2.5  ,500  ,2.91219e-004
31500  ,500  ,-2.5  ,497.5  ,2.91189e-004
30974  ,500  ,2.5  ,-497.5  ,2.91177e-004
31498  ,500  ,5.58794e-008  ,497.5  ,2.91176e-004
30976  ,500  ,5.58794e-008  ,-497.5  ,2.91175e-004
30984  ,500  ,-2.5  ,-497.5  ,2.91173e-004
31497  ,500  ,2.5  ,497.5  ,2.91164e-004
227  ,500  ,-2.5  ,495  ,2.91135e-004
284  ,500  ,2.5  ,-495  ,2.91123e-004
31299  ,500  ,5.58794e-008  ,495  ,2.91122e-004
30983  ,500  ,5.58794e-008  ,-495  ,2.91120e-004
281  ,500  ,-2.5  ,-495  ,2.91118e-004
338  ,500  ,2.5  ,495  ,2.91110e-004
31300  ,500  ,-2.5  ,491.875  ,2.91068e-004
30971  ,500  ,2.5  ,-491.875  ,2.91055e-004
31294  ,500  ,5.58794e-008  ,491.875  ,2.91055e-004
30982  ,500  ,5.58794e-008  ,-491.875  ,2.91053e-004
30990  ,500  ,-2.5  ,-491.875  ,2.91051e-004
30752  ,500  ,2.5  ,491.875  ,2.91043e-004
228  ,500  ,-2.5  ,488.75  ,2.91001e-004
285  ,500  ,2.5  ,-488.75  ,2.90988e-004
31295  ,500  ,5.58794e-008  ,488.75  ,2.90988e-004
30989  ,500  ,5.58794e-008  ,-488.75  ,2.90986e-004
280  ,500  ,-2.5  ,-488.75  ,2.90985e-004
337  ,500  ,2.5  ,488.75  ,2.90976e-004
31296  ,500  ,-2.5  ,484.844  ,2.90918e-004
30966  ,500  ,2.5  ,-484.844  ,2.90905e-004
31287  ,500  ,5.58794e-008  ,484.844  ,2.90904e-004
30988  ,500  ,5.58794e-008  ,-484.844  ,2.90903e-004
30996  ,500  ,-2.5  ,-484.844  ,2.90901e-004
30756  ,500  ,2.5  ,484.844  ,2.90891e-004
229  ,500  ,-2.5  ,480.938  ,2.90835e-004
286  ,500  ,2.5  ,-480.938  ,2.90822e-004
31288  ,500  ,5.58794e-008  ,480.938  ,2.90821e-004
30995  ,500  ,5.58794e-008  ,-480.937  ,2.90820e-004
279  ,500  ,-2.5  ,-480.938  ,2.90818e-004
336  ,500  ,2.5  ,480.938  ,2.90807e-004
31289  ,500  ,-2.5  ,476.055  ,2.90733e-004
30962  ,500  ,2.5  ,-476.055  ,2.90719e-004
31281  ,500  ,5.58794e-008  ,476.055  ,2.90718e-004
30994  ,500  ,5.58794e-008  ,-476.055  ,2.90716e-004
31001  ,500  ,-2.5  ,-476.055  ,2.90714e-004
30761  ,500  ,2.5  ,476.055  ,2.90703e-004
230  ,500  ,-2.5  ,471.172  ,2.90631e-004
287  ,500  ,2.5  ,-471.172  ,2.90616e-004
31282  ,500  ,5.58794e-008  ,471.172  ,2.90615e-004
31000  ,500  ,5.58794e-008  ,-471.172  ,2.90614e-004
278  ,500  ,-2.5  ,-471.172  ,2.90612e-004
335  ,500  ,2.5  ,471.172  ,2.90600e-004
31509  ,497.5  ,-2.5  ,500  ,2.90526e-004
30972  ,497.5  ,2.5  ,-500  ,2.90515e-004
31501  ,497.5  ,5.58794e-008  ,500  ,2.90514e-004
30973  ,497.5  ,5.58794e-008  ,-500  ,2.90513e-004
30975  ,497.5  ,-2.5  ,-500  ,2.90511e-004
31499  ,497.5  ,2.5  ,500  ,2.90502e-004
31506  ,497.5  ,-2.5  ,497.5  ,2.90472e-004
31297  ,497.803  ,-1.27846  ,493.444  ,2.90465e-004
30969  ,497.5  ,2.5  ,-497.5  ,2.90460e-004
31495  ,497.5  ,0  ,497.5  ,2.90460e-004
30970  ,497.5  ,0  ,-497.5  ,2.90458e-004
30981  ,497.5  ,-2.5  ,-497.5  ,2.90456e-004
30747  ,497.803  ,1.22154  ,493.444  ,2.90453e-004
31494  ,497.5  ,2.5  ,497.5  ,2.90448e-004
31283  ,500  ,-2.5  ,461.406  ,2.90430e-004
30958  ,500  ,2.5  ,-461.406  ,2.90413e-004
31276  ,500  ,5.58794e-008  ,461.406  ,2.90412e-004
30999  ,500  ,5.58794e-008  ,-461.406  ,2.90411e-004
31007  ,500  ,-2.5  ,-461.406  ,2.90411e-004
31290  ,497.803  ,-1.27846  ,490.319  ,2.90398e-004
30765  ,500  ,2.5  ,461.406  ,2.90394e-004
30749  ,497.803  ,1.22154  ,490.319  ,2.90386e-004
