19:56, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-2.82152e-007  ,9.30557e-008  ,9.31251e-008  ,-1.92825e-011  ,-3.16260e-009  ,-5.01870e-011
2  ,-2.89221e-007  ,9.53541e-008  ,9.56606e-008  ,-1.59811e-011  ,-2.00675e-009  ,-7.08622e-011
3  ,-3.13725e-007  ,1.39864e-007  ,2.81937e-008  ,-1.32196e-008  ,2.12211e-007  ,8.88287e-010
4  ,-3.28221e-007  ,1.46427e-007  ,2.74296e-008  ,-4.01291e-009  ,2.38284e-007  ,-1.07077e-008
5  ,-2.87930e-007  ,9.48763e-008  ,9.52697e-008  ,-9.47889e-012  ,-9.50077e-009  ,-6.68339e-012
6  ,-2.88713e-007  ,9.51735e-008  ,9.55176e-008  ,8.70980e-011  ,-9.56321e-009  ,1.27091e-011
7  ,-3.28187e-007  ,1.46616e-007  ,2.56572e-008  ,6.04340e-010  ,-2.36140e-007  ,-1.04098e-008
8  ,-2.88108e-007  ,9.50279e-008  ,9.52127e-008  ,3.38014e-011  ,-1.93270e-009  ,-3.18922e-011
9  ,-2.86064e-007  ,9.44010e-008  ,9.44177e-008  ,-2.93278e-011  ,2.44271e-009  ,2.57419e-011
10  ,-3.07357e-007  ,1.41119e-007  ,1.15025e-008  ,-9.31344e-009  ,-2.20282e-007  ,-7.50393e-010
11  ,-3.07677e-007  ,1.48274e-007  ,1.79923e-008  ,8.62573e-009  ,-2.02743e-007  ,3.00271e-009
12  ,-3.12751e-007  ,1.38534e-007  ,2.87126e-008  ,1.42668e-008  ,-2.12074e-007  ,6.25929e-010
13  ,-2.57104e-007  ,1.14447e-007  ,2.44894e-008  ,9.29596e-011  ,-5.03568e-008  ,2.40354e-010
14  ,-2.55241e-007  ,1.14913e-007  ,2.21603e-008  ,-6.31801e-012  ,-4.84364e-008  ,-2.21329e-011
15  ,-2.53799e-007  ,1.15800e-007  ,1.88964e-008  ,3.83767e-010  ,-5.42833e-008  ,-2.90930e-011
16  ,-2.56166e-007  ,1.15380e-007  ,2.23849e-008  ,-3.34048e-011  ,-5.36843e-008  ,7.85166e-011
17  ,-2.59278e-007  ,1.14250e-007  ,2.72754e-008  ,-7.26765e-011  ,-5.42659e-008  ,-7.15735e-011
18  ,-2.56352e-007  ,1.15070e-007  ,2.26868e-008  ,-7.38954e-011  ,-5.63532e-008  ,-1.45801e-010
19  ,-2.71045e-007  ,1.10510e-007  ,4.66107e-008  ,-1.62100e-011  ,-4.40927e-008  ,9.94018e-014
20  ,-2.92766e-007  ,9.57944e-008  ,9.82901e-008  ,4.00277e-011  ,-4.25023e-009  ,3.37061e-011
21  ,-2.69558e-007  ,1.11053e-007  ,4.41025e-008  ,3.01714e-011  ,-4.66638e-008  ,2.00524e-011
22  ,-2.72173e-007  ,1.10177e-007  ,4.84317e-008  ,-1.25860e-011  ,-4.42988e-008  ,-1.90931e-012
23  ,-2.67896e-007  ,1.11661e-007  ,4.11551e-008  ,-8.06221e-011  ,-4.87214e-008  ,-8.68583e-011
24  ,-2.68699e-007  ,1.11354e-007  ,4.25882e-008  ,-5.26282e-011  ,-4.74312e-008  ,-5.85110e-011
25  ,-2.67666e-007  ,1.11771e-007  ,4.07604e-008  ,-5.44347e-011  ,-4.73851e-008  ,-1.35927e-011
26  ,-2.72627e-007  ,1.10290e-007  ,4.87197e-008  ,-2.25052e-011  ,-4.51298e-008  ,1.18092e-010
27  ,-2.88839e-007  ,9.49947e-008  ,9.59913e-008  ,-1.04201e-011  ,6.30609e-009  ,-3.25413e-011
28  ,-2.53216e-007  ,1.15479e-007  ,1.82850e-008  ,1.05462e-010  ,-5.66268e-008  ,-1.15310e-010
29  ,-2.92982e-007  ,9.60286e-008  ,9.80547e-008  ,-1.14895e-011  ,-4.45876e-009  ,-5.63702e-011
30  ,-2.91110e-007  ,9.44658e-008  ,9.92826e-008  ,8.89236e-012  ,-9.80347e-010  ,2.07714e-012
31  ,-2.90949e-007  ,9.45669e-008  ,9.89183e-008  ,3.78964e-011  ,-1.55545e-009  ,-4.42102e-011
32  ,-2.91040e-007  ,9.44428e-008  ,9.93028e-008  ,-2.09013e-011  ,-8.58556e-010  ,4.48249e-012
33  ,-2.90991e-007  ,9.45585e-008  ,9.89723e-008  ,1.22868e-011  ,-1.63119e-009  ,-1.43710e-011
34  ,-2.90917e-007  ,9.46655e-008  ,9.88048e-008  ,-5.84830e-011  ,-2.00408e-009  ,-1.09326e-010
35  ,-2.91019e-007  ,9.45132e-008  ,9.91494e-008  ,6.56240e-011  ,-1.35810e-009  ,-1.88690e-011
36  ,-2.90338e-007  ,1.01481e-007  ,8.43018e-008  ,3.26256e-011  ,-1.05256e-008  ,5.86178e-011
37  ,-2.92685e-007  ,9.65635e-008  ,9.66363e-008  ,7.00718e-011  ,7.24943e-009  ,-4.30466e-011
38  ,-2.90945e-007  ,9.45911e-008  ,9.89287e-008  ,3.71017e-013  ,-1.55523e-009  ,-1.08869e-011
39  ,-2.88636e-007  ,9.49573e-008  ,9.58610e-008  ,-2.45615e-011  ,6.23021e-009  ,-4.35368e-011
40  ,-2.91000e-007  ,9.45323e-008  ,9.90439e-008  ,-7.14669e-011  ,-1.97831e-009  ,5.01445e-011
41  ,-2.91983e-007  ,9.52348e-008  ,9.86023e-008  ,-2.76734e-011  ,4.65809e-009  ,-6.14675e-012
42  ,-2.85180e-007  ,1.06040e-007  ,6.98771e-008  ,-2.05824e-012  ,-4.76299e-008  ,1.64511e-011
43  ,-2.92011e-007  ,9.52510e-008  ,9.86277e-008  ,-1.12371e-011  ,4.45322e-009  ,-2.27500e-011
44  ,-2.66544e-007  ,1.11667e-007  ,3.98188e-008  ,-6.72026e-013  ,-3.67172e-008  ,-1.73967e-011
45  ,-2.56497e-007  ,1.15831e-007  ,2.12569e-008  ,1.38850e-010  ,-7.55256e-008  ,-1.52878e-010
46  ,-2.47558e-007  ,1.17790e-007  ,5.37524e-009  ,-1.51865e-009  ,-7.30376e-008  ,-2.74366e-009
47  ,-2.91691e-007  ,9.52416e-008  ,9.83305e-008  ,3.40959e-012  ,5.56873e-009  ,-1.90940e-011
48  ,-2.91890e-007  ,9.51691e-008  ,9.86455e-008  ,-1.70571e-011  ,4.63254e-009  ,-9.35373e-012
