19:54, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
1  ,-7.81497e+004  ,-2.63141e+004  ,-3.44731e+004  ,-6.71390e+003  ,-1.85460e+004  ,-1.55336e+003
2  ,-3.67653e+004  ,-9.89924e+003  ,-1.51436e+004  ,-3.10978e+003  ,-1.04799e+004  ,5.93200e+002
3  ,-3.06758e+004  ,-8.16477e+003  ,-1.28001e+004  ,-1.88513e+003  ,-7.92919e+003  ,2.22983e+002
4  ,-2.75653e+004  ,-9.47465e+003  ,-1.21315e+004  ,-1.81644e+003  ,-6.38638e+003  ,-1.32876e+002
5  ,-2.46441e+004  ,-7.33485e+003  ,-1.08897e+004  ,-1.56990e+003  ,-5.93302e+003  ,1.69249e+002
6  ,-2.17158e+004  ,-8.02290e+003  ,-9.86861e+003  ,-7.94534e+002  ,-5.01487e+003  ,-2.33190e+002
7  ,-2.05350e+004  ,-1.01294e+004  ,-1.01603e+004  ,-1.06917e+003  ,-4.57314e+003  ,6.31063e+000
8  ,-1.97583e+004  ,-9.74317e+003  ,-9.76647e+003  ,-9.92664e+002  ,-4.13759e+003  ,9.24489e+000
9  ,-1.94497e+004  ,-9.59449e+003  ,-9.62451e+003  ,-1.05592e+003  ,-3.80584e+003  ,6.50545e+000
10  ,-1.94974e+004  ,-6.73775e+003  ,-8.58363e+003  ,-5.74031e+002  ,-3.82525e+003  ,1.90405e+002
11  ,-1.90190e+004  ,-4.97328e+003  ,-7.79722e+003  ,-3.05494e+002  ,-3.18977e+003  ,-1.34861e-001
12  ,-1.93592e+004  ,-6.68485e+003  ,-8.61242e+003  ,-3.38515e+002  ,-2.70202e+003  ,-5.16709e+001
13  ,-1.98812e+004  ,-9.79953e+003  ,-9.81435e+003  ,-8.05488e+002  ,-2.70707e+003  ,-1.38586e+001
14  ,-1.85571e+004  ,-4.95036e+003  ,-7.75840e+003  ,-3.10456e+002  ,-2.53319e+003  ,-3.21284e+001
15  ,-1.86661e+004  ,-4.85106e+003  ,-7.70387e+003  ,-2.90277e+002  ,-2.25015e+003  ,-1.43581e+001
16  ,-1.92913e+004  ,-6.66684e+003  ,-8.53632e+003  ,-5.35559e+002  ,-1.93006e+003  ,-6.00211e+001
17  ,-1.85299e+004  ,-4.93550e+003  ,-7.77025e+003  ,-2.90367e+002  ,-1.91755e+003  ,-5.59843e+001
18  ,-1.85923e+004  ,-4.82425e+003  ,-7.69908e+003  ,-2.72323e+002  ,-1.71331e+003  ,1.24524e+000
19  ,-1.85271e+004  ,-4.81425e+003  ,-7.64291e+003  ,-2.93532e+002  ,-1.47736e+003  ,-4.08966e+000
20  ,-1.89454e+004  ,-6.53534e+003  ,-8.39348e+003  ,-3.42015e+002  ,-1.15407e+003  ,-6.54738e+001
21  ,-1.91038e+004  ,-9.42032e+003  ,-9.44263e+003  ,-5.11690e+002  ,-1.16270e+003  ,-7.45366e+000
22  ,-1.88720e+004  ,-9.29899e+003  ,-9.30676e+003  ,-4.72212e+002  ,-1.05109e+003  ,3.30135e+000
23  ,-1.88467e+004  ,-9.28721e+003  ,-9.29633e+003  ,-4.89795e+002  ,-9.01526e+002  ,5.89955e+000
24  ,-1.88622e+004  ,-9.29410e+003  ,-9.30173e+003  ,-5.10785e+002  ,-7.50220e+002  ,6.86274e+000
25  ,-1.88138e+004  ,-9.26999e+003  ,-9.27710e+003  ,-5.14080e+002  ,-5.88572e+002  ,9.95803e+000
26  ,-1.89148e+004  ,-9.31843e+003  ,-9.32284e+003  ,-4.81738e+002  ,-4.39518e+002  ,1.18714e+001
27  ,-1.89658e+004  ,-9.34079e+003  ,-9.33962e+003  ,-4.34733e+002  ,-2.82117e+002  ,1.65232e+001
28  ,-1.91051e+004  ,-9.41117e+003  ,-9.41357e+003  ,-3.37480e+002  ,-1.31627e+002  ,3.15973e+001
29  ,-1.86841e+004  ,-7.35445e+003  ,-8.67288e+003  ,2.34501e+001  ,-9.74088e+001  ,4.39522e+001
30  ,-1.85429e+004  ,-5.99763e+003  ,-8.03356e+003  ,-1.06673e+002  ,1.15836e+002  ,-2.46491e+001
31  ,-1.88738e+004  ,-9.07345e+003  ,-9.11979e+003  ,-1.02332e+003  ,1.93995e+002  ,-7.91854e+001
32  ,-1.87240e+004  ,-9.23102e+003  ,-9.24875e+003  ,-7.56259e+002  ,4.75886e+002  ,2.81298e+001
33  ,-1.82334e+004  ,-8.98061e+003  ,-8.98061e+003  ,-8.52505e+002  ,6.56063e+002  ,5.97475e-005
34  ,-1.86611e+004  ,-9.17798e+003  ,-9.15094e+003  ,-4.52574e+002  ,6.35744e+002  ,6.63884e+000
35  ,-1.87256e+004  ,-9.22220e+003  ,-9.22043e+003  ,-4.90279e+002  ,8.43032e+002  ,1.14034e+001
36  ,-1.87781e+004  ,-9.24886e+003  ,-9.24871e+003  ,-4.96152e+002  ,1.00429e+003  ,9.47311e+000
37  ,-1.88138e+004  ,-9.26657e+003  ,-9.26674e+003  ,-4.95454e+002  ,1.16453e+003  ,8.30767e+000
38  ,-1.88403e+004  ,-9.27980e+003  ,-9.28024e+003  ,-4.83052e+002  ,1.32891e+003  ,7.95782e+000
39  ,-1.89148e+004  ,-9.32003e+003  ,-9.32766e+003  ,-4.86635e+002  ,1.48609e+003  ,3.61271e+000
40  ,-1.92878e+004  ,-9.49858e+003  ,-9.49583e+003  ,-7.81927e+002  ,1.61954e+003  ,-1.48987e+001
41  ,-1.82442e+004  ,-4.92044e+003  ,-7.60805e+003  ,-3.37925e+002  ,1.83720e+003  ,-6.56408e+001
42  ,-1.86820e+004  ,-6.47704e+003  ,-8.26776e+003  ,-3.63786e+002  ,2.19511e+003  ,-9.27311e+001
43  ,-1.93307e+004  ,-9.52802e+003  ,-9.54211e+003  ,-5.19269e+002  ,2.25368e+003  ,-7.08109e+000
44  ,-1.92165e+004  ,-9.46792e+003  ,-9.47419e+003  ,-4.78065e+002  ,2.42354e+003  ,-4.81777e-001
45  ,-1.93239e+004  ,-9.52001e+003  ,-9.52461e+003  ,-4.96771e+002  ,2.64118e+003  ,4.59505e+000
46  ,-1.94647e+004  ,-9.59156e+003  ,-9.60061e+003  ,-4.97828e+002  ,2.87082e+003  ,7.97426e+000
47  ,-2.00851e+004  ,-9.89913e+003  ,-9.91225e+003  ,-4.04873e+002  ,3.07349e+003  ,3.69216e+001
48  ,-2.00354e+004  ,-7.14614e+003  ,-9.07623e+003  ,-3.46476e+002  ,3.25456e+003  ,9.50492e+001
49  ,-2.03079e+004  ,-5.49453e+003  ,-8.50989e+003  ,-3.64158e+002  ,3.65717e+003  ,-1.25667e+001
50  ,-2.10559e+004  ,-5.64639e+003  ,-8.84250e+003  ,-4.26417e+002  ,4.10800e+003  ,-8.70688e+000
51  ,-2.17378e+004  ,-5.86690e+003  ,-9.14482e+003  ,-4.12411e+002  ,4.62564e+003  ,-1.03180e+001
52  ,-2.34350e+004  ,-7.58588e+003  ,-1.02663e+004  ,-1.70051e+002  ,5.46123e+003  ,-2.81489e+002
53  ,-2.39666e+004  ,-1.18044e+004  ,-1.18044e+004  ,-4.23656e+003  ,6.14715e+003  ,2.64478e-006
54  ,-2.67896e+004  ,-7.53610e+003  ,-1.14276e+004  ,-1.56623e+003  ,6.63035e+003  ,5.50524e+001
55  ,-3.06111e+004  ,-8.23671e+003  ,-1.27406e+004  ,-1.64897e+003  ,8.01209e+003  ,-2.32682e+002
56  ,-3.73481e+004  ,-1.29931e+004  ,-1.63222e+004  ,-2.84004e+003  ,1.06716e+004  ,-6.15231e+002
57  ,-6.63691e+004  ,-3.26893e+004  ,-3.26893e+004  ,-8.37844e+003  ,1.99680e+004  ,2.52881e-005
58  ,-7.57858e+004  ,-2.57731e+004  ,-3.35144e+004  ,6.76133e+003  ,1.80870e+004  ,-1.65087e+003
59  ,-3.41593e+004  ,-1.19452e+004  ,-1.50271e+004  ,3.55571e+003  ,1.00803e+004  ,3.03606e+002
60  ,-2.90288e+004  ,-1.43517e+004  ,-1.44612e+004  ,3.46111e+003  ,7.93341e+003  ,2.27026e+002
61  ,-2.63154e+004  ,-1.29474e+004  ,-1.29191e+004  ,2.86547e+003  ,6.70665e+003  ,-2.93081e+001
62  ,-2.42275e+004  ,-7.13649e+003  ,-1.06690e+004  ,1.44534e+003  ,5.98941e+003  ,2.30349e+002
63  ,-2.17056e+004  ,-8.18377e+003  ,-9.89469e+003  ,8.33397e+002  ,5.06892e+003  ,-2.33462e+002
64  ,-2.05466e+004  ,-1.01353e+004  ,-1.01664e+004  ,1.09016e+003  ,4.56963e+003  ,9.27492e+000
65  ,-1.97645e+004  ,-9.74637e+003  ,-9.76996e+003  ,9.97862e+002  ,4.13610e+003  ,9.56464e+000
66  ,-1.94433e+004  ,-9.59156e+003  ,-9.62205e+003  ,1.05272e+003  ,3.80503e+003  ,6.59716e+000
67  ,-1.94995e+004  ,-6.74223e+003  ,-8.58828e+003  ,5.71216e+002  ,3.83091e+003  ,1.89532e+002
68  ,-1.91187e+004  ,-4.99386e+003  ,-7.89449e+003  ,2.73794e+002  ,3.24483e+003  ,7.03692e+000
69  ,-1.90580e+004  ,-4.93241e+003  ,-7.93303e+003  ,2.76896e+002  ,2.90840e+003  ,5.33485e+000
70  ,-1.89601e+004  ,-4.91630e+003  ,-7.88655e+003  ,2.70334e+002  ,2.67746e+003  ,1.50371e+000
71  ,-1.88547e+004  ,-4.89344e+003  ,-7.83338e+003  ,2.72123e+002  ,2.44798e+003  ,5.70956e+000
72  ,-1.87004e+004  ,-4.85373e+003  ,-7.72234e+003  ,2.78520e+002  ,2.20400e+003  ,-4.02288e+000
73  ,-1.90915e+004  ,-6.58885e+003  ,-8.47683e+003  ,3.27535e+002  ,1.85627e+003  ,-6.08619e+001
74  ,-1.96304e+004  ,-9.67551e+003  ,-9.68933e+003  ,7.92322e+002  ,1.89750e+003  ,-1.43146e+001
75  ,-1.83698e+004  ,-4.91549e+003  ,-7.69277e+003  ,2.99768e+002  ,1.76347e+003  ,-2.38340e+001
76  ,-1.85816e+004  ,-4.80446e+003  ,-7.68873e+003  ,2.61362e+002  ,1.56406e+003  ,-2.65389e+000
77  ,-1.86360e+004  ,-4.82158e+003  ,-7.74124e+003  ,2.63715e+002  ,1.36199e+003  ,-2.40494e+000
78  ,-1.86294e+004  ,-4.82634e+003  ,-7.74545e+003  ,2.58129e+002  ,1.19908e+003  ,1.78072e-001
79  ,-1.86311e+004  ,-4.82427e+003  ,-7.74567e+003  ,2.57279e+002  ,1.04372e+003  ,-5.58473e-001
80  ,-1.86520e+004  ,-4.82330e+003  ,-7.74769e+003  ,2.58939e+002  ,8.87631e+002  ,-4.86158e+000
81  ,-1.87146e+004  ,-4.82521e+003  ,-7.74212e+003  ,2.51846e+002  ,7.12146e+002  ,1.54650e+001
82  ,-1.88411e+004  ,-4.94360e+003  ,-7.87142e+003  ,1.86287e+002  ,5.34770e+002  ,1.38174e+001
83  ,-1.87415e+004  ,-4.96746e+003  ,-7.78213e+003  ,6.18009e+001  ,4.13047e+002  ,-9.30071e+000
84  ,-1.89171e+004  ,-5.71079e+003  ,-8.08734e+003  ,-1.81744e+002  ,1.75991e+002  ,-8.49820e+001
85  ,-1.93267e+004  ,-7.94627e+003  ,-8.94358e+003  ,6.59143e+002  ,2.41752e+002  ,-3.38830e+001
86  ,-1.85795e+004  ,-5.39346e+003  ,-7.91255e+003  ,7.57389e+002  ,1.05465e+002  ,7.29632e+001
87  ,-1.83749e+004  ,-4.82358e+003  ,-7.62184e+003  ,4.49180e+002  ,-8.13032e+001  ,4.77822e+000
88  ,-1.83649e+004  ,-4.77888e+003  ,-7.62754e+003  ,3.39394e+002  ,-2.52322e+002  ,2.10920e+000
89  ,-1.83865e+004  ,-4.78286e+003  ,-7.64578e+003  ,2.98516e+002  ,-4.10352e+002  ,5.73683e+000
90  ,-1.85721e+004  ,-5.47141e+003  ,-7.93677e+003  ,3.62963e+002  ,-5.54524e+002  ,-3.43991e+000
91  ,-1.84743e+004  ,-4.79366e+003  ,-7.67976e+003  ,2.56181e+002  ,-7.02584e+002  ,-3.35725e+000
92  ,-1.85113e+004  ,-4.81322e+003  ,-7.69675e+003  ,2.74210e+002  ,-8.57140e+002  ,-1.85774e+000
93  ,-1.85199e+004  ,-4.80482e+003  ,-7.68426e+003  ,2.77076e+002  ,-1.02653e+003  ,6.28631e+000
94  ,-1.83802e+004  ,-4.77389e+003  ,-7.59304e+003  ,2.83282e+002  ,-1.23890e+003  ,-1.17601e+001
95  ,-1.85793e+004  ,-6.45719e+003  ,-8.25294e+003  ,3.67974e+002  ,-1.53339e+003  ,-8.39618e+001
