20:00, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,1.32307e-005  ,-5.14836e-006  ,-4.11894e-006  ,-2.38761e-006  ,-3.86701e-006  ,4.40907e-007
2  ,1.09406e-006  ,-3.75890e-007  ,-1.50962e-007  ,-3.82730e-007  ,-5.08397e-006  ,-7.12825e-007
3  ,5.94516e-005  ,-3.23771e-005  ,-3.29469e-006  ,-6.70262e-006  ,-4.13752e-006  ,-3.66068e-006
4  ,1.25133e-004  ,-5.63173e-005  ,-6.08071e-006  ,-8.63772e-006  ,-2.30927e-005  ,-9.05394e-006
5  ,3.13855e-005  ,-1.24126e-005  ,-7.19024e-006  ,-5.16163e-006  ,-8.39815e-006  ,-1.15892e-007
6  ,-3.09949e-005  ,1.16591e-005  ,5.98597e-006  ,3.85603e-006  ,-8.91137e-006  ,1.97872e-007
7  ,-9.87843e-005  ,4.48896e-005  ,2.81912e-006  ,-7.49340e-006  ,-2.63723e-005  ,9.58599e-006
8  ,4.15914e-006  ,-2.04552e-006  ,-1.23986e-006  ,-1.12114e-006  ,-3.55007e-006  ,5.91338e-009
9  ,7.01828e-006  ,-1.66026e-006  ,-2.43411e-006  ,-2.18086e-006  ,3.88790e-006  ,-9.66058e-008
10  ,-1.04783e-004  ,5.23948e-005  ,-1.12758e-006  ,-4.22160e-006  ,-1.52641e-005  ,4.30901e-006
11  ,7.63819e-005  ,-3.19728e-005  ,-5.59437e-006  ,-4.45605e-007  ,2.87321e-006  ,5.26517e-006
12  ,-5.26398e-005  ,3.00777e-005  ,-1.26212e-008  ,-1.04016e-005  ,-1.35680e-005  ,2.90027e-006
13  ,1.50997e-005  ,-7.59544e-006  ,7.94051e-007  ,-1.01463e-006  ,-1.25265e-006  ,4.40113e-007
14  ,2.38020e-004  ,-1.17779e-004  ,9.34140e-007  ,-5.83770e-006  ,-3.46603e-006  ,7.81443e-008
15  ,7.04469e-005  ,-3.46570e-005  ,7.47059e-007  ,-3.10619e-006  ,-2.16562e-006  ,1.68190e-007
16  ,-2.27222e-004  ,1.11361e-004  ,8.74209e-007  ,4.58650e-006  ,7.41889e-007  ,1.55163e-007
17  ,-8.51488e-005  ,4.23027e-005  ,7.59302e-007  ,-5.43274e-007  ,-6.17027e-007  ,-7.18625e-008
18  ,-7.73985e-005  ,3.75602e-005  ,6.90862e-007  ,9.16754e-007  ,-8.42251e-007  ,-2.10956e-007
19  ,-1.98934e-004  ,9.71896e-005  ,1.65962e-006  ,8.52568e-006  ,-1.89960e-006  ,2.24801e-007
20  ,-2.54926e-006  ,7.27572e-007  ,1.02941e-006  ,-6.00344e-007  ,-3.55378e-006  ,8.80669e-008
21  ,-2.03143e-004  ,9.94636e-005  ,1.39325e-006  ,9.01537e-006  ,-1.31422e-006  ,2.17010e-008
22  ,-1.98095e-004  ,9.69796e-005  ,1.80631e-006  ,1.01796e-005  ,-2.71980e-006  ,3.09756e-007
23  ,-4.30223e-006  ,2.07445e-006  ,5.23618e-007  ,-1.59700e-006  ,-8.48785e-007  ,1.44108e-007
24  ,-6.58057e-005  ,3.25772e-005  ,6.91581e-007  ,2.07839e-006  ,-7.48102e-007  ,3.01440e-007
25  ,1.33680e-004  ,-6.63656e-005  ,7.39822e-008  ,-7.58361e-006  ,-3.91571e-007  ,-7.02787e-008
26  ,7.07153e-005  ,-3.47667e-005  ,-2.36818e-007  ,-3.65327e-006  ,2.34753e-007  ,4.24746e-007
27  ,3.37577e-005  ,-1.14023e-005  ,-9.48590e-006  ,-5.90086e-006  ,2.82387e-006  ,1.39278e-007
28  ,-2.35039e-004  ,1.15337e-004  ,6.86564e-007  ,4.52279e-006  ,5.97301e-007  ,-7.95106e-008
29  ,2.02069e-005  ,-8.70492e-006  ,-1.61836e-006  ,-5.15384e-006  ,-3.74796e-006  ,1.84484e-007
30  ,-7.13942e-006  ,-2.66737e-006  ,1.27089e-005  ,-3.00690e-008  ,-7.60785e-006  ,5.74990e-007
31  ,4.53181e-006  ,-2.67807e-006  ,1.08029e-006  ,-1.40472e-006  ,2.82101e-006  ,1.50561e-007
32  ,1.07389e-006  ,-1.86183e-006  ,2.40758e-006  ,-1.16686e-006  ,3.27560e-006  ,-4.82598e-007
33  ,-7.51282e-006  ,-7.38259e-007  ,9.81653e-006  ,9.72808e-007  ,-5.98230e-006  ,5.23247e-007
34  ,-1.38410e-006  ,-2.13115e-006  ,5.32342e-006  ,-7.88962e-007  ,-2.16661e-006  ,-2.44658e-007
35  ,-1.72712e-006  ,-1.85590e-006  ,5.86897e-006  ,-1.31604e-006  ,-1.20568e-006  ,-6.39532e-009
36  ,-1.09680e-004  ,5.16496e-005  ,4.37613e-006  ,9.95531e-006  ,-5.34223e-006  ,7.25556e-007
37  ,5.84042e-005  ,-2.51672e-005  ,-6.79415e-006  ,-1.00219e-005  ,6.73132e-006  ,-3.46621e-007
