19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
1  ,3.78588e+006  ,8.38491e+005  ,1.52593e+006  ,4.15629e+006  ,-1.54793e+006  ,-9.17210e+004
2  ,-9.87918e+005  ,-3.52535e+005  ,2.04766e+004  ,8.99384e+005  ,-2.06574e+006  ,3.52122e+005
3  ,-8.27443e+006  ,-2.26367e+006  ,-2.98892e+006  ,2.80692e+005  ,-1.52979e+006  ,3.45442e+005
4  ,-1.34166e+007  ,-4.51905e+006  ,-5.61419e+006  ,8.72801e+004  ,-7.09048e+005  ,-1.92044e+005
5  ,-1.73897e+007  ,-5.11086e+006  ,-7.85479e+006  ,7.15186e+005  ,-2.22164e+005  ,3.06831e+004
6  ,-2.09601e+007  ,-6.87758e+006  ,-9.13799e+006  ,1.52671e+005  ,-4.36630e+005  ,-7.39853e+004
7  ,-2.65340e+007  ,-1.30272e+007  ,-1.29135e+007  ,-9.25228e+005  ,-2.93525e+005  ,1.31222e+005
8  ,-2.81686e+007  ,-1.38426e+007  ,-1.37457e+007  ,-7.09255e+005  ,-2.31723e+005  ,2.49053e+004
9  ,-2.90985e+007  ,-1.43036e+007  ,-1.42102e+007  ,-5.40952e+005  ,-2.11271e+005  ,-4.14974e+004
10  ,-2.76688e+007  ,-9.85094e+006  ,-1.23320e+007  ,2.66986e+004  ,-2.77082e+005  ,1.06948e+005
11  ,-2.69505e+007  ,-7.56624e+006  ,-1.13419e+007  ,2.10954e+005  ,-1.91902e+005  ,-2.15433e+004
12  ,-2.81006e+007  ,-9.99453e+006  ,-1.24187e+007  ,1.63589e+005  ,-1.32451e+005  ,-2.72643e+005
13  ,-3.01939e+007  ,-1.48579e+007  ,-1.47628e+007  ,-1.22128e+005  ,-1.50779e+005  ,-1.10457e+005
14  ,-2.71340e+007  ,-7.69014e+006  ,-1.14694e+007  ,8.07104e+004  ,-1.52221e+005  ,-3.50511e+004
