19:31, Friday, January 18, 2019
Study name:Static 1 hex diamond tension
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,1.91313e-003  ,6.01450e-006  ,1.56965e-002  ,1.58126e-002
2  ,1.91357e-003  ,4.37195e-005  ,1.56994e-002  ,1.58157e-002
3  ,1.92152e-003  ,2.66521e-005  ,1.57530e-002  ,1.58698e-002
4  ,1.89586e-003  ,2.52850e-005  ,1.58111e-002  ,1.59244e-002
5  ,1.91239e-003  ,2.36207e-005  ,1.58585e-002  ,1.59735e-002
6  ,2.00897e-003  ,2.02677e-005  ,1.58651e-002  ,1.59918e-002
7  ,2.37708e-003  ,1.51231e-005  ,1.57380e-002  ,1.59165e-002
8  ,2.76661e-003  ,1.15034e-005  ,1.55470e-002  ,1.57912e-002
9  ,3.15343e-003  ,7.85442e-006  ,1.53234e-002  ,1.56445e-002
10  ,3.51527e-003  ,2.97570e-006  ,1.50705e-002  ,1.54750e-002
11  ,3.60744e-003  ,6.62928e-007  ,1.49765e-002  ,1.54048e-002
12  ,3.62120e-003  ,-1.10007e-006  ,1.49270e-002  ,1.53599e-002
13  ,3.58769e-003  ,-1.99727e-006  ,1.49082e-002  ,1.53338e-002
14  ,3.54212e-003  ,-7.04041e-006  ,1.49008e-002  ,1.53160e-002
15  ,3.54271e-003  ,1.21000e-005  ,1.49003e-002  ,1.53156e-002
16  ,3.58810e-003  ,7.08166e-006  ,1.49088e-002  ,1.53345e-002
17  ,3.62076e-003  ,7.22381e-006  ,1.49275e-002  ,1.53604e-002
18  ,3.60727e-003  ,7.27228e-006  ,1.49774e-002  ,1.54057e-002
19  ,3.51476e-003  ,7.55173e-006  ,1.50709e-002  ,1.54754e-002
20  ,3.15415e-003  ,9.19912e-006  ,1.53247e-002  ,1.56460e-002
21  ,2.76684e-003  ,9.84785e-006  ,1.55474e-002  ,1.57917e-002
22  ,2.37711e-003  ,1.05522e-005  ,1.57387e-002  ,1.59173e-002
23  ,2.00917e-003  ,1.25446e-005  ,1.58659e-002  ,1.59926e-002
24  ,1.91295e-003  ,1.35270e-005  ,1.58594e-002  ,1.59744e-002
25  ,1.89681e-003  ,1.49113e-005  ,1.58119e-002  ,1.59252e-002
26  ,1.92338e-003  ,1.63019e-005  ,1.57559e-002  ,1.58729e-002
27  ,6.80039e-004  ,-1.12052e-005  ,2.15703e-003  ,2.26171e-003
28  ,6.78913e-004  ,5.32364e-006  ,2.15713e-003  ,2.26145e-003
29  ,4.83774e-004  ,1.37580e-006  ,2.21369e-003  ,2.26593e-003
30  ,3.16410e-004  ,-1.77665e-006  ,2.25976e-003  ,2.28180e-003
31  ,2.20333e-004  ,-5.03566e-006  ,2.26477e-003  ,2.27547e-003
32  ,2.53245e-004  ,-8.08584e-006  ,2.20418e-003  ,2.21869e-003
33  ,7.05355e-004  ,-1.44799e-005  ,1.92434e-003  ,2.04959e-003
34  ,1.30304e-003  ,-1.92820e-005  ,1.62876e-003  ,2.08594e-003
35  ,1.95932e-003  ,-2.43558e-005  ,1.35938e-003  ,2.38484e-003
36  ,2.64565e-003  ,-2.71290e-005  ,1.17804e-003  ,2.89620e-003
37  ,2.86486e-003  ,-2.86360e-005  ,1.19565e-003  ,3.10449e-003
38  ,2.94704e-003  ,-2.95762e-005  ,1.27655e-003  ,3.21177e-003
39  ,2.94410e-003  ,-2.94818e-005  ,1.38957e-003  ,3.25569e-003
40  ,2.92302e-003  ,-3.63351e-005  ,1.51268e-003  ,3.29144e-003
41  ,2.92162e-003  ,5.42629e-006  ,1.51280e-003  ,3.29005e-003
42  ,2.94437e-003  ,-3.40679e-006  ,1.38950e-003  ,3.25576e-003
43  ,2.94689e-003  ,-5.13189e-006  ,1.27754e-003  ,3.21190e-003
44  ,2.86403e-003  ,-5.97902e-006  ,1.19488e-003  ,3.10329e-003
45  ,2.64614e-003  ,-8.29559e-006  ,1.17997e-003  ,2.89732e-003
46  ,1.95878e-003  ,-1.14854e-005  ,1.35845e-003  ,2.38376e-003
47  ,1.30322e-003  ,-1.13039e-005  ,1.62817e-003  ,2.08554e-003
48  ,7.04731e-004  ,-1.25292e-005  ,1.92378e-003  ,2.04883e-003
49  ,2.52015e-004  ,-1.18057e-005  ,2.20369e-003  ,2.21809e-003
50  ,2.18919e-004  ,-1.25750e-005  ,2.26384e-003  ,2.27444e-003
51  ,3.15706e-004  ,-1.21387e-005  ,2.25866e-003  ,2.28065e-003
52  ,4.82112e-004  ,-1.23151e-005  ,2.21262e-003  ,2.26456e-003
53  ,5.40442e-006  ,2.04788e-006  ,2.35058e-005  ,2.42059e-005
54  ,5.10134e-006  ,-2.05486e-006  ,2.32249e-005  ,2.38672e-005
55  ,1.10155e-005  ,-2.97466e-006  ,3.85038e-005  ,4.01589e-005
56  ,1.65923e-005  ,-4.18703e-006  ,6.53615e-005  ,6.75645e-005
57  ,1.23424e-005  ,-3.35574e-006  ,1.10915e-004  ,1.11650e-004
