19:32, Friday, January 18, 2019
Study name:Static 1 hex diamond tension
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,1.58169e-005  ,-2.13673e-006  ,-1.19773e-005  ,-9.09684e-008  ,2.88638e-007  ,-1.31915e-007
2  ,1.50982e-005  ,-2.53191e-006  ,-9.28486e-006  ,1.40948e-007  ,1.64733e-006  ,6.62400e-007
3  ,1.48337e-005  ,-7.08885e-007  ,-1.35782e-005  ,-3.13327e-007  ,-6.29388e-006  ,-7.68290e-007
4  ,1.58144e-005  ,7.33666e-007  ,-1.71708e-005  ,-1.74651e-006  ,-1.14923e-005  ,3.13849e-007
5  ,1.78865e-005  ,6.34968e-007  ,-1.78731e-005  ,-2.88999e-006  ,-3.73527e-006  ,1.00910e-007
6  ,1.39505e-005  ,-2.63332e-006  ,-9.16456e-006  ,4.05044e-007  ,1.35999e-006  ,-9.81917e-007
7  ,1.49555e-005  ,-2.14766e-006  ,-1.13254e-005  ,5.83494e-007  ,-3.85692e-007  ,-2.32828e-007
8  ,1.52738e-005  ,-1.21051e-006  ,-1.29370e-005  ,-1.07336e-007  ,-2.17012e-006  ,-7.28512e-007
9  ,1.34917e-005  ,-4.66981e-006  ,-3.88647e-006  ,-5.91881e-009  ,-2.03804e-006  ,1.14518e-006
10  ,1.44443e-005  ,-5.05447e-006  ,-4.30295e-006  ,1.22893e-007  ,2.53072e-006  ,-2.87757e-007
11  ,1.44422e-005  ,-5.32681e-006  ,-4.31865e-006  ,8.42458e-007  ,-4.15167e-006  ,1.10710e-006
12  ,1.34298e-005  ,-4.85724e-006  ,-3.75304e-006  ,2.14853e-007  ,6.19081e-007  ,2.44792e-007
13  ,1.32302e-005  ,-4.65569e-006  ,-4.00065e-006  ,-1.81342e-007  ,-1.60411e-006  ,-3.33725e-007
14  ,8.53991e-007  ,-1.82917e-006  ,2.98096e-006  ,-5.26756e-008  ,7.51468e-006  ,9.39268e-008
15  ,1.25844e-007  ,-1.46658e-008  ,-9.45073e-008  ,9.17506e-010  ,-3.10357e-007  ,-2.06988e-009
16  ,8.37142e-007  ,-1.82580e-006  ,3.01021e-006  ,5.69666e-008  ,7.54852e-006  ,-1.54393e-007
17  ,8.79377e-007  ,-1.07808e-006  ,1.27374e-006  ,-9.90999e-008  ,5.36270e-006  ,-1.27452e-007
18  ,1.33646e-006  ,7.29842e-007  ,-2.54478e-006  ,1.46435e-009  ,-1.31146e-006  ,1.50759e-007
19  ,1.26029e-006  ,-6.59541e-007  ,3.91092e-009  ,-7.76125e-008  ,3.05334e-006  ,-2.68971e-007
20  ,1.50710e-005  ,7.11275e-008  ,-1.53029e-005  ,-1.22434e-006  ,-8.73486e-006  ,-1.92202e-006
21  ,1.77235e-005  ,2.19515e-008  ,-1.68254e-005  ,-3.44102e-007  ,-1.28898e-006  ,7.84621e-007
22  ,1.54033e-005  ,1.57610e-007  ,-1.59988e-005  ,-7.97420e-008  ,-1.10315e-005  ,-8.05191e-007
23  ,1.73480e-005  ,1.33938e-006  ,-1.89298e-005  ,2.34956e-007  ,-7.79097e-006  ,-3.11569e-007
24  ,2.93855e-006  ,2.59213e-006  ,-8.20229e-006  ,-4.25067e-009  ,1.63553e-006  ,3.62702e-008
25  ,2.01641e-005  ,3.58740e-006  ,-2.68239e-005  ,-5.69183e-007  ,-1.27276e-005  ,-2.03348e-006
26  ,1.50233e-005  ,-2.01732e-007  ,-1.46701e-005  ,2.68314e-007  ,-1.03130e-005  ,-3.67226e-007
27  ,1.83912e-005  ,9.91492e-007  ,-1.90605e-005  ,2.27410e-006  ,-7.92251e-006  ,-2.76158e-006
28  ,1.64349e-006  ,1.06420e-006  ,-3.68504e-006  ,-1.16532e-008  ,-1.10919e-006  ,4.53308e-008
29  ,1.92770e-005  ,1.84281e-006  ,-2.02937e-005  ,2.06710e-006  ,-4.68852e-006  ,-3.70071e-006
30  ,6.52114e-006  ,1.29705e-006  ,-9.13251e-006  ,-4.10828e-007  ,-2.28340e-005  ,5.29611e-007
31  ,-1.45688e-006  ,4.71333e-007  ,5.98582e-007  ,1.46520e-007  ,3.10130e-006  ,-6.02282e-008
32  ,1.99906e-006  ,1.82123e-006  ,-5.69602e-006  ,8.16340e-010  ,3.89532e-007  ,-7.11873e-009
33  ,-2.68931e-006  ,8.15578e-007  ,1.06094e-006  ,-1.19434e-008  ,1.56346e-006  ,-2.10349e-008
34  ,1.12891e-006  ,-3.32695e-007  ,-5.31352e-007  ,-4.55923e-008  ,1.24918e-006  ,-4.55790e-008
35  ,-2.38326e-006  ,3.74410e-007  ,1.67137e-006  ,9.89821e-009  ,-6.91897e-008  ,-9.73644e-008
36  ,1.44977e-005  ,-2.69222e-006  ,-9.33821e-006  ,2.96439e-007  ,1.00605e-006  ,1.99735e-007
37  ,1.53588e-005  ,-1.74228e-006  ,-1.15950e-005  ,4.98873e-008  ,-7.54801e-007  ,5.39887e-009
38  ,1.44114e-005  ,-2.64052e-006  ,-9.40750e-006  ,-7.96728e-008  ,-9.82221e-008  ,-2.50764e-008
39  ,1.26220e-005  ,-4.19703e-006  ,-4.11894e-006  ,4.46419e-007  ,9.97058e-007  ,3.67779e-007
40  ,1.34374e-005  ,-3.63244e-006  ,-6.26508e-006  ,2.55208e-007  ,8.38193e-008  ,3.48519e-007
41  ,1.73380e-005  ,3.38919e-007  ,-1.74772e-005  ,2.61004e-007  ,-6.91322e-006  ,-1.13326e-006
42  ,7.17893e-006  ,-3.48359e-007  ,-6.45409e-006  ,5.15061e-009  ,-1.41000e-005  ,2.79816e-008
43  ,6.68803e-006  ,-5.92144e-007  ,-5.43991e-006  ,-3.30267e-007  ,-8.19127e-006  ,4.23544e-008
44  ,1.32505e-005  ,-3.55339e-006  ,-6.26161e-006  ,4.66925e-008  ,4.53911e-007  ,1.71425e-007
45  ,3.02503e-006  ,2.73668e-006  ,-8.59572e-006  ,-2.50643e-008  ,9.04577e-007  ,5.78521e-008
46  ,1.57614e-005  ,-1.56572e-006  ,-1.05571e-005  ,-1.35249e-007  ,2.92102e-006  ,1.18198e-008
47  ,1.80624e-005  ,-4.38918e-006  ,-6.83617e-006  ,2.09638e-006  ,-1.24713e-006  ,7.88831e-007
48  ,-1.01616e-005  ,2.60597e-006  ,4.75252e-006  ,-2.79436e-007  ,2.19604e-006  ,8.84857e-009
49  ,-1.77720e-008  ,4.96262e-007  ,-1.02929e-006  ,-4.66040e-009  ,-1.89196e-006  ,-2.67414e-009
50  ,-1.33340e-007  ,-5.75720e-007  ,1.20055e-006  ,-4.79961e-008  ,-2.10799e-006  ,-2.44522e-008
51  ,-4.30921e-008  ,5.78870e-007  ,-1.18921e-006  ,2.34840e-008  ,-2.45788e-006  ,3.26885e-008
52  ,2.99944e-006  ,2.89448e-006  ,-8.86410e-006  ,-7.48368e-009  ,3.03372e-007  ,4.88875e-008
53  ,-2.31856e-008  ,5.70856e-007  ,-1.19330e-006  ,-3.42699e-008  ,-2.43165e-006  ,-2.86864e-008
