19:53, Friday, January 18, 2019
Study name:Static 3 hex diamond torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,-1.70932e+000  ,-2.74819e+001  ,1.70414e-003  ,2.75351e+001
2  ,-2.97383e+000  ,-2.73189e+001  ,3.08334e-002  ,2.74803e+001
3  ,-3.06131e+000  ,-2.79216e+001  ,3.27205e-002  ,2.80889e+001
4  ,-3.16614e+000  ,-2.86906e+001  ,3.33473e-002  ,2.88648e+001
5  ,-3.29716e+000  ,-2.96649e+001  ,3.43852e-002  ,2.98476e+001
6  ,-3.46485e+000  ,-3.08983e+001  ,3.44891e-002  ,3.10919e+001
7  ,-3.81396e+000  ,-3.34165e+001  ,3.46154e-002  ,3.36334e+001
8  ,-4.10960e+000  ,-3.54965e+001  ,3.41525e-002  ,3.57336e+001
9  ,-4.41938e+000  ,-3.76258e+001  ,3.36717e-002  ,3.78844e+001
10  ,-4.82638e+000  ,-4.03431e+001  ,3.20414e-002  ,4.06307e+001
11  ,-5.03908e+000  ,-4.17335e+001  ,3.18547e-002  ,4.20367e+001
12  ,-5.21471e+000  ,-4.28612e+001  ,3.09303e-002  ,4.31773e+001
13  ,-5.35775e+000  ,-4.37742e+001  ,3.05955e-002  ,4.41009e+001
14  ,-5.47064e+000  ,-4.45134e+001  ,3.02433e-002  ,4.48483e+001
15  ,-3.97026e+000  ,-4.47438e+001  ,1.77330e-002  ,4.49196e+001
16  ,-3.85736e+000  ,-4.40044e+001  ,1.62325e-002  ,4.41732e+001
17  ,-3.72524e+000  ,-4.30882e+001  ,1.47959e-002  ,4.32489e+001
18  ,-3.56436e+000  ,-4.19560e+001  ,1.26841e-002  ,4.21071e+001
19  ,-3.36885e+000  ,-4.05603e+001  ,1.09081e-002  ,4.07000e+001
20  ,-2.99696e+000  ,-3.78325e+001  ,6.99579e-003  ,3.79510e+001
21  ,-2.71440e+000  ,-3.56952e+001  ,4.92678e-003  ,3.57983e+001
22  ,-2.44569e+000  ,-3.36074e+001  ,3.02244e-003  ,3.36963e+001
23  ,-2.12952e+000  ,-3.10800e+001  ,1.37798e-003  ,3.11529e+001
24  ,-1.97818e+000  ,-2.98422e+001  ,5.02490e-004  ,2.99077e+001
25  ,-1.86049e+000  ,-2.88642e+001  ,6.44793e-004  ,2.89241e+001
26  ,-1.77097e+000  ,-2.80911e+001  ,4.27700e-004  ,2.81469e+001
