19:54, Friday, January 18, 2019
Study name:Static 3 hex diamond torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-2.09109e-004  ,5.28576e-005  ,6.41390e-005  ,1.85903e-004  ,-1.28157e-005  ,-5.53053e-005
2  ,-7.00874e-005  ,1.90404e-005  ,2.44885e-005  ,1.09778e-005  ,-1.99037e-005  ,-9.38340e-005
3  ,2.03116e-004  ,1.54034e-005  ,-1.13629e-004  ,-3.97552e-004  ,-1.03011e-005  ,5.23030e-005
4  ,-3.72718e-004  ,3.84893e-005  ,1.62370e-004  ,4.76919e-004  ,7.56618e-005  ,-3.64508e-005
5  ,-4.26624e-004  ,1.27424e-005  ,1.80756e-004  ,6.11089e-004  ,7.37552e-005  ,-1.09516e-004
6  ,-6.22825e-004  ,8.32753e-005  ,2.61042e-004  ,8.32871e-004  ,-1.44474e-005  ,1.28402e-005
7  ,-4.46202e-004  ,7.60418e-005  ,1.76269e-004  ,5.43976e-004  ,-5.21318e-006  ,-1.12415e-005
8  ,2.42907e-004  ,1.16367e-005  ,-1.30919e-004  ,-4.59426e-004  ,-1.65744e-005  ,1.26635e-005
9  ,-1.43244e-004  ,1.21977e-005  ,6.74443e-005  ,1.92129e-004  ,-1.10648e-005  ,-6.50892e-005
10  ,5.35763e-004  ,-4.49499e-005  ,-2.39277e-004  ,-7.93937e-004  ,2.20844e-005  ,2.75817e-006
11  ,-4.88818e-004  ,4.49260e-005  ,2.12556e-004  ,7.10411e-004  ,1.83069e-005  ,-5.67496e-005
12  ,-2.86519e-004  ,2.76596e-005  ,1.26717e-004  ,4.08608e-004  ,-4.91344e-006  ,3.73451e-006
13  ,-8.18132e-004  ,7.53689e-005  ,3.58967e-004  ,1.19190e-003  ,9.09284e-006  ,-1.42644e-005
14  ,-7.89030e-006  ,4.49371e-006  ,2.62297e-006  ,-3.81221e-007  ,-1.54623e-005  ,-8.96634e-006
15  ,-3.23165e-004  ,1.34970e-004  ,3.72742e-005  ,1.05849e-005  ,1.93100e-004  ,-5.13105e-005
16  ,-2.42065e-006  ,6.17951e-006  ,-5.91959e-007  ,-1.13926e-005  ,5.21039e-006  ,-2.36956e-005
17  ,3.65397e-006  ,1.60166e-006  ,8.45018e-007  ,-1.76997e-005  ,2.20577e-005  ,-3.01147e-005
