19:12, Friday, January 18, 2019
Study name:Static 2 hex compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-1.16578e-006  ,3.28864e-007  ,2.45953e-007  ,4.66226e-008  ,2.09508e-006  ,-6.40929e-008
2  ,-3.21212e-006  ,1.06030e-006  ,1.05952e-006  ,-1.87000e-009  ,-1.64582e-009  ,3.25831e-010
3  ,-7.95894e-007  ,-1.78186e-007  ,1.11679e-006  ,-7.47947e-008  ,-9.14059e-009  ,1.43816e-007
4  ,-1.11874e-006  ,6.74844e-007  ,-3.80923e-007  ,8.81647e-008  ,3.55484e-006  ,-2.61859e-008
5  ,-3.21123e-006  ,1.06042e-006  ,1.05915e-006  ,1.00748e-009  ,-5.03228e-009  ,-1.56166e-009
6  ,-6.45476e-006  ,2.17920e-006  ,2.02330e-006  ,9.11229e-009  ,-1.46662e-007  ,3.18697e-008
7  ,-3.20941e-006  ,1.05966e-006  ,1.05824e-006  ,-8.45822e-010  ,-7.52244e-009  ,-8.29821e-010
8  ,-1.80546e-006  ,6.02044e-007  ,5.58321e-007  ,6.15003e-008  ,1.74195e-006  ,-9.36480e-010
9  ,-1.54867e-006  ,5.88654e-007  ,3.20907e-007  ,1.65014e-008  ,3.30172e-006  ,-4.23469e-008
10  ,-1.48836e-006  ,5.35198e-007  ,3.90539e-007  ,3.00433e-008  ,3.15641e-006  ,-4.27164e-008
11  ,-1.74487e-006  ,5.54732e-007  ,6.22421e-007  ,4.80186e-008  ,1.58388e-006  ,2.23019e-008
12  ,-1.72475e-006  ,8.80307e-007  ,-1.15316e-007  ,3.36106e-008  ,3.79273e-006  ,-9.27726e-008
13  ,-3.21007e-006  ,1.05938e-006  ,1.05900e-006  ,2.12966e-010  ,-2.14668e-009  ,3.32807e-009
14  ,-3.21067e-006  ,1.05994e-006  ,1.05873e-006  ,-1.21585e-009  ,-3.41568e-010  ,2.98505e-009
15  ,-3.20792e-006  ,1.05901e-006  ,1.05789e-006  ,-3.81474e-009  ,-3.52573e-009  ,1.63720e-009
16  ,-2.47253e-009  ,-1.51888e-008  ,3.42591e-008  ,2.27089e-009  ,-4.19391e-008  ,-2.50300e-009
17  ,-3.20994e-006  ,1.05954e-006  ,1.05896e-006  ,-1.02275e-009  ,-4.18835e-009  ,2.51340e-009
18  ,-2.82587e-009  ,-1.49769e-008  ,3.40727e-008  ,-1.70657e-009  ,4.19129e-008  ,-2.29295e-009
19  ,-1.87009e-005  ,6.03782e-006  ,6.34894e-006  ,-1.76606e-007  ,-3.29486e-007  ,5.56811e-009
20  ,-7.09501e-007  ,4.97983e-007  ,-2.98644e-007  ,1.61804e-009  ,2.03729e-006  ,-2.38286e-008
21  ,-1.60595e-006  ,7.15738e-007  ,1.08039e-007  ,7.06810e-008  ,1.62242e-006  ,6.04692e-009
22  ,-4.68649e-006  ,1.50306e-006  ,1.64362e-006  ,6.45701e-009  ,1.43243e-007  ,7.86369e-009
23  ,-1.50379e-006  ,6.67492e-007  ,3.11862e-008  ,-3.40082e-008  ,1.56920e-006  ,-6.22786e-008
24  ,1.85357e-007  ,3.59052e-007  ,-8.88130e-007  ,4.63116e-008  ,1.71107e-006  ,-7.74142e-009
25  ,-3.21038e-006  ,1.06002e-006  ,1.05947e-006  ,-8.17410e-010  ,-6.37558e-009  ,2.70248e-009
26  ,-3.20991e-006  ,1.05980e-006  ,1.05863e-006  ,-2.14094e-009  ,-1.97603e-009  ,2.43409e-009
27  ,-4.54405e-006  ,1.45534e-006  ,1.61296e-006  ,7.69654e-009  ,1.86020e-007  ,2.30356e-008
28  ,-3.21001e-006  ,1.06017e-006  ,1.05854e-006  ,-2.23598e-009  ,-2.53911e-009  ,1.73714e-009
29  ,-6.37536e-006  ,2.22078e-006  ,2.04024e-006  ,-3.05119e-007  ,9.97316e-007  ,1.55785e-007
30  ,-3.20993e-006  ,1.05952e-006  ,1.05862e-006  ,-1.11418e-009  ,1.50285e-011  ,2.47021e-009
31  ,-6.38751e-006  ,2.11911e-006  ,2.12138e-006  ,6.39255e-008  ,1.66565e-007  ,-5.27960e-009
32  ,-3.21178e-006  ,1.05919e-006  ,1.06226e-006  ,1.02966e-009  ,-1.99037e-009  ,-5.03292e-009
33  ,-7.60234e-006  ,2.59471e-006  ,2.31880e-006  ,-1.03581e-008  ,-1.53793e-007  ,4.81717e-008
34  ,-3.20959e-006  ,1.05834e-006  ,1.06089e-006  ,1.28378e-009  ,-6.91590e-009  ,5.52244e-010
