19:26, Friday, January 18, 2019
Study name:Static 3 hex torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-3.64449e-004  ,1.13208e-004  ,1.22027e-004  ,1.17837e-004  ,8.40035e-004  ,-8.73564e-005
2  ,-5.44943e-004  ,5.89336e-005  ,2.38570e-004  ,7.43959e-004  ,1.04711e-007  ,1.03251e-006
3  ,4.22009e-005  ,-3.31061e-005  ,-8.71021e-006  ,2.06165e-004  ,-7.29941e-005  ,-3.42910e-004
4  ,-1.48159e-004  ,5.35872e-005  ,5.11725e-005  ,-2.56949e-005  ,3.33415e-004  ,7.45022e-005
5  ,1.97842e-004  ,-1.92477e-005  ,-8.82275e-005  ,-2.85694e-004  ,-5.77004e-007  ,-6.55982e-007
6  ,-1.33707e-004  ,2.17399e-005  ,5.55000e-005  ,1.46836e-004  ,6.10911e-006  ,-7.98520e-006
7  ,5.64694e-004  ,-5.45763e-005  ,-2.52823e-004  ,-8.08377e-004  ,6.01982e-007  ,-1.27242e-006
8  ,-6.01063e-006  ,4.60970e-006  ,-1.67405e-006  ,3.51272e-006  ,1.33513e-005  ,-3.39810e-006
9  ,3.48424e-006  ,1.23216e-006  ,2.56721e-006  ,-1.88904e-005  ,-2.23126e-005  ,1.94382e-005
10  ,-8.88588e-007  ,2.49059e-006  ,8.19921e-007  ,-8.27736e-006  ,-5.86224e-006  ,9.99029e-006
11  ,-2.73948e-007  ,4.02776e-006  ,7.43914e-007  ,-1.40830e-005  ,-7.66977e-006  ,1.11524e-005
12  ,-2.14539e-006  ,2.66229e-006  ,9.04765e-007  ,-5.92472e-006  ,-1.22464e-006  ,7.79822e-006
13  ,-1.80166e-005  ,1.69466e-006  ,7.03404e-006  ,2.43446e-005  ,-4.33952e-007  ,-4.96713e-007
14  ,-4.40073e-004  ,4.72639e-005  ,1.92897e-004  ,6.15164e-004  ,1.01891e-006  ,1.52856e-006
15  ,1.08811e-004  ,-6.45072e-006  ,-4.96513e-005  ,-1.65034e-004  ,9.17063e-007  ,9.07383e-007
16  ,-3.92267e-008  ,-2.85627e-007  ,1.57242e-007  ,3.41433e-006  ,7.20011e-007  ,-6.52399e-007
17  ,2.05566e-004  ,-1.96972e-005  ,-9.19747e-005  ,-2.83637e-004  ,2.36766e-007  ,-7.44033e-007
18  ,1.11317e-007  ,3.15546e-007  ,-2.77951e-007  ,4.33803e-006  ,9.13356e-007  ,2.94739e-007
19  ,-1.62082e-003  ,5.42190e-004  ,5.35496e-004  ,1.87288e-004  ,-8.61758e-005  ,5.38231e-005
20  ,-2.75670e-006  ,3.87771e-007  ,1.70525e-006  ,2.43385e-006  ,6.85041e-006  ,-8.71168e-007
21  ,-4.79685e-006  ,1.16128e-006  ,-2.68506e-007  ,1.04699e-005  ,1.57641e-005  ,-3.60924e-006
22  ,2.79671e-004  ,4.83640e-006  ,-1.41885e-004  ,-4.91297e-004  ,-7.89416e-006  ,-3.89680e-006
23  ,-3.10212e-006  ,1.71310e-006  ,2.36433e-007  ,-2.97035e-007  ,8.75656e-006  ,1.86721e-006
24  ,4.33130e-007  ,-5.95427e-007  ,5.31634e-008  ,2.35306e-007  ,3.32813e-006  ,5.27076e-006
25  ,5.03547e-004  ,-5.32977e-005  ,-2.21254e-004  ,-7.07074e-004  ,8.62612e-007  ,-1.29880e-006
26  ,-2.17995e-004  ,2.47457e-005  ,9.38794e-005  ,2.99853e-004  ,1.09736e-006  ,3.49520e-007
27  ,1.47988e-006  ,2.36213e-006  ,-1.74788e-006  ,-9.14624e-006  ,-5.96423e-006  ,-6.78123e-006
28  ,-2.09320e-004  ,2.37735e-005  ,9.09832e-005  ,2.84931e-004  ,1.75076e-006  ,9.38944e-007
29  ,7.54410e-006  ,-6.54460e-006  ,1.51740e-006  ,-4.34185e-006  ,9.02220e-006  ,6.78571e-006
30  ,-4.91866e-004  ,5.36853e-005  ,2.14667e-004  ,6.83326e-004  ,-5.05561e-008  ,-5.40944e-007
31  ,9.68043e-004  ,-1.45075e-004  ,-4.02574e-004  ,-1.21504e-003  ,-3.93131e-006  ,-1.32170e-006
32  ,-7.20894e-004  ,8.17468e-005  ,3.15877e-004  ,9.76508e-004  ,2.12290e-007  ,4.43120e-007
33  ,-1.10141e-003  ,3.37438e-004  ,3.79997e-004  ,4.43539e-004  ,3.96130e-006  ,2.64365e-005
34  ,6.16065e-004  ,-6.70755e-005  ,-2.70607e-004  ,-8.61117e-004  ,1.78384e-006  ,1.30291e-006
35  ,-1.21518e-004  ,1.86015e-005  ,5.11462e-005  ,1.46000e-004  ,2.21796e-007  ,1.92507e-006
36  ,3.30284e-004  ,-5.44928e-005  ,-1.37800e-004  ,-3.95689e-004  ,2.81332e-006  ,-5.07698e-006
37  ,-1.28559e-006  ,-1.05115e-006  ,3.53734e-006  ,-1.96222e-007  ,3.39362e-007  ,1.19161e-006
38  ,-3.50368e-004  ,6.11538e-005  ,1.44053e-004  ,4.02073e-004  ,1.24178e-005  ,-3.02316e-006
39  ,6.46523e-004  ,-1.04432e-004  ,-2.66754e-004  ,-7.71596e-004  ,-1.84813e-007  ,-1.32248e-006
40  ,3.34569e-004  ,-5.51147e-005  ,-1.36822e-004  ,-3.96987e-004  ,3.76687e-006  ,-1.67738e-006
41  ,3.27056e-004  ,-2.61759e-005  ,-1.46234e-004  ,-4.80373e-004  ,4.21572e-006  ,-5.33881e-006
42  ,3.28710e-004  ,-2.19726e-005  ,-1.52024e-004  ,-4.88468e-004  ,1.03144e-005  ,-1.95322e-007
43  ,-3.53331e-004  ,4.35697e-005  ,1.52965e-004  ,4.68570e-004  ,-1.16207e-005  ,8.79847e-006
44  ,-3.44491e-004  ,3.57088e-005  ,1.50046e-004  ,4.77627e-004  ,-2.08740e-005  ,-2.14847e-006
45  ,-1.03946e-003  ,1.10790e-004  ,4.59579e-004  ,1.44404e-003  ,-2.94350e-005  ,2.01008e-005
46  ,-9.29675e-006  ,2.79226e-006  ,3.77311e-006  ,6.25060e-006  ,2.33374e-006  ,5.70820e-007
47  ,-3.96971e-004  ,2.19331e-006  ,1.94668e-004  ,6.68485e-004  ,5.59323e-006  ,-2.19898e-006
48  ,-1.43208e-006  ,-9.65457e-007  ,3.55701e-006  ,2.26349e-008  ,-2.15989e-007  ,-1.43208e-006
49  ,3.80801e-004  ,-2.31373e-006  ,-1.86806e-004  ,-6.53582e-004  ,-8.76438e-007  ,2.45520e-006
50  ,3.76149e-004  ,1.52923e-006  ,-1.86070e-004  ,-6.47605e-004  ,-3.09612e-006  ,3.55752e-007
51  ,-1.31326e-005  ,4.78813e-006  ,3.87336e-006  ,9.38899e-006  ,7.22404e-007  ,-6.57987e-007
52  ,-7.20393e-004  ,1.78867e-004  ,2.66978e-004  ,6.11911e-004  ,2.66396e-005  ,-6.85835e-006
53  ,6.02123e-004  ,-1.43143e-004  ,-2.26650e-004  ,-5.04359e-004  ,-1.81825e-005  ,1.12183e-007
54  ,-6.12901e-004  ,1.52178e-004  ,2.28478e-004  ,4.84148e-004  ,1.30572e-005  ,-1.00383e-005
55  ,5.97690e-004  ,-1.39864e-004  ,-2.24314e-004  ,-5.21888e-004  ,-7.15511e-006  ,8.13743e-006
56  ,-1.82302e-003  ,4.50955e-004  ,6.77557e-004  ,1.50618e-003  ,4.39050e-005  ,-1.82168e-005
57  ,5.69572e-004  ,-4.94500e-005  ,-2.55326e-004  ,-8.23788e-004  ,2.74176e-007  ,-3.28805e-007
58  ,2.58524e-006  ,3.22818e-006  ,1.67721e-006  ,-2.19665e-005  ,1.63848e-005  ,-1.62998e-005
59  ,2.96492e-006  ,2.58634e-006  ,1.58098e-006  ,-2.12251e-005  ,1.69858e-005  ,-1.74016e-005
60  ,9.42920e-006  ,-2.88066e-006  ,3.14460e-006  ,-6.71670e-006  ,-1.24231e-005  ,-1.55230e-005
61  ,5.02454e-006  ,3.35275e-007  ,3.58868e-006  ,-2.28569e-005  ,2.84648e-005  ,-2.31746e-005
62  ,-8.13305e-005  ,-2.35452e-006  ,4.14837e-005  ,1.49244e-004  ,3.97505e-006  ,-2.57598e-006
63  ,2.82884e-004  ,-2.20768e-005  ,-1.28295e-004  ,-4.29379e-004  ,1.28239e-006  ,-5.98598e-006
64  ,-3.44606e-004  ,3.14899e-005  ,1.53283e-004  ,4.90726e-004  ,-1.05679e-005  ,2.23751e-006
65  ,-1.34625e-004  ,-1.58187e-005  ,7.52653e-005  ,2.72402e-004  ,-7.48198e-006  ,5.35150e-006
66  ,-6.68895e-004  ,2.00814e-004  ,2.30548e-004  ,3.04195e-004  ,-5.33095e-006  ,4.90655e-007
67  ,-5.98516e-004  ,2.36778e-005  ,2.82590e-004  ,9.54473e-004  ,-1.54760e-005  ,8.60321e-006
68  ,-9.62223e-004  ,2.22395e-004  ,3.66089e-004  ,8.65335e-004  ,1.21494e-005  ,-1.99199e-006
69  ,5.22007e-006  ,-1.15088e-006  ,1.07084e-006  ,1.71769e-006  ,-7.48114e-006  ,-1.24625e-006
70  ,6.76098e-005  ,1.47240e-005  ,-4.04927e-005  ,-1.53853e-004  ,-5.19969e-006  ,1.18748e-006
71  ,1.55086e-004  ,-5.65032e-005  ,-8.19741e-005  ,-1.51852e-005  ,3.00737e-004  ,1.59719e-004
72  ,-1.15619e-004  ,-1.57205e-005  ,6.39607e-005  ,2.39403e-004  ,4.34315e-007  ,4.42351e-007
73  ,-6.32145e-004  ,7.89656e-005  ,2.71784e-004  ,8.38987e-004  ,-1.47618e-005  ,5.43046e-006
74  ,-1.00058e-004  ,-7.41337e-006  ,5.29612e-005  ,1.95051e-004  ,1.64595e-006  ,-3.06412e-006
75  ,-9.38190e-004  ,1.12943e-004  ,4.06256e-004  ,1.25238e-003  ,2.12994e-005  ,-9.17466e-006
76  ,5.28820e-004  ,-1.21852e-006  ,-2.61152e-004  ,-9.07923e-004  ,-5.83616e-006  ,2.60942e-006
77  ,3.75473e-004  ,-8.86021e-005  ,-1.32785e-004  ,-4.37554e-004  ,2.27604e-004  ,5.46480e-005
78  ,6.27321e-004  ,-1.81012e-004  ,-2.10090e-004  ,-4.19312e-004  ,4.72869e-005  ,2.46137e-005
79  ,-4.16208e-004  ,1.33913e-004  ,1.13799e-004  ,2.18505e-004  ,1.47442e-004  ,3.44718e-005
80  ,-2.14512e-004  ,9.01144e-006  ,1.01261e-004  ,3.36724e-004  ,-1.24025e-006  ,-1.53784e-007
81  ,7.24370e-005  ,-1.82877e-005  ,-5.11147e-005  ,-3.91533e-005  ,1.42702e-004  ,5.34717e-005
82  ,3.94071e-005  ,6.49368e-005  ,-5.37007e-005  ,-2.07423e-004  ,7.94377e-005  ,-4.44618e-005
83  ,3.16696e-004  ,3.05635e-005  ,-1.67085e-004  ,-5.80091e-004  ,2.30320e-004  ,-1.47609e-004
84  ,2.89454e-004  ,-3.17684e-005  ,-1.63870e-004  ,-3.11867e-004  ,6.81608e-004  ,-2.48991e-004
85  ,1.98787e-005  ,1.07206e-005  ,-1.48696e-005  ,-6.18055e-005  ,5.14789e-006  ,-4.90580e-006
86  ,6.10151e-005  ,-6.01220e-005  ,-5.13137e-006  ,2.69799e-004  ,-2.22824e-005  ,-5.20543e-005
87  ,-2.64665e-004  ,2.31181e-005  ,1.18600e-004  ,3.81767e-004  ,6.52029e-006  ,-1.59802e-005
88  ,7.99847e-004  ,-6.10014e-005  ,-3.58535e-004  ,-1.19896e-003  ,-3.39485e-005  ,-4.44836e-006
89  ,-3.07031e-004  ,3.19160e-005  ,1.35657e-004  ,4.26111e-004  ,-7.85670e-006  ,2.89093e-006
90  ,2.53564e-004  ,-8.33027e-005  ,-9.24528e-005  ,1.34704e-005  ,-5.53442e-004  ,-1.13657e-004
91  ,4.97244e-004  ,-1.40640e-004  ,-1.75039e-004  ,-3.14322e-004  ,1.04670e-005  ,-2.12567e-007
92  ,6.02842e-004  ,-1.54745e-004  ,-2.22282e-004  ,-5.00905e-004  ,-1.25143e-005  ,9.64947e-006
93  ,-1.85334e-003  ,4.29503e-004  ,7.07434e-004  ,1.65460e-003  ,5.13020e-005  ,-2.37740e-005
94  ,4.40393e-004  ,-9.42043e-005  ,-1.69231e-004  ,-4.42473e-004  ,-1.16175e-005  ,-8.94939e-007
95  ,-1.23153e-004  ,-9.69870e-006  ,6.52770e-005  ,2.42922e-004  ,3.43761e-006  ,-2.54778e-006
96  ,6.21670e-005  ,1.06680e-005  ,-3.47835e-005  ,-1.36376e-004  ,-5.19704e-007  ,4.72460e-006
97  ,6.53838e-005  ,-3.68278e-005  ,-1.55155e-005  ,-1.16377e-005  ,1.53931e-004  ,7.25769e-005
98  ,-7.24108e-005  ,-2.35154e-005  ,5.49527e-005  ,1.71482e-004  ,-2.23877e-004  ,2.00780e-004
99  ,-7.11099e-005  ,-3.11930e-005  ,6.61542e-005  ,1.71701e-004  ,-2.06423e-004  ,2.06923e-004
