18:48, Friday, January 18, 2019
Study name:Static 2 Square Diamond Compression
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,-5.85284e-007  ,-4.96215e-007  ,-1.19468e-005  ,1.19714e-005
2  ,1.28436e-005  ,-3.82436e-006  ,-1.98934e-005  ,2.39860e-005
3  ,2.69296e-005  ,-5.23252e-006  ,-4.69008e-005  ,5.43348e-005
4  ,3.41514e-005  ,-6.00752e-006  ,-1.00165e-004  ,1.05998e-004
5  ,1.18253e-005  ,-5.40547e-006  ,-1.99187e-004  ,1.99611e-004
6  ,-5.86478e-005  ,-3.57861e-006  ,-3.59115e-004  ,3.63890e-004
7  ,-3.88114e-004  ,3.02644e-006  ,-8.81415e-004  ,9.63086e-004
8  ,-8.71096e-004  ,8.67630e-006  ,-1.52172e-003  ,1.75343e-003
9  ,-1.09240e-003  ,9.49032e-006  ,-1.79672e-003  ,2.10277e-003
10  ,-1.26854e-003  ,7.94426e-006  ,-2.02381e-003  ,2.38853e-003
11  ,-1.43801e-003  ,8.96741e-006  ,-2.26010e-003  ,2.67880e-003
12  ,-1.70567e-003  ,3.56824e-005  ,-2.49745e-003  ,3.02454e-003
13  ,-1.88848e-003  ,4.87776e-005  ,-2.85407e-003  ,3.42264e-003
14  ,-1.88426e-003  ,2.48014e-005  ,-3.00816e-003  ,3.54966e-003
15  ,-1.77484e-003  ,1.83609e-005  ,-3.20513e-003  ,3.66378e-003
16  ,-1.66340e-003  ,1.85492e-005  ,-3.44358e-003  ,3.82432e-003
17  ,-1.61756e-003  ,1.59160e-005  ,-3.64533e-003  ,3.98813e-003
18  ,-1.67050e-003  ,1.38971e-005  ,-3.76472e-003  ,4.11873e-003
19  ,-1.80788e-003  ,1.23442e-005  ,-3.76375e-003  ,4.17545e-003
20  ,-1.98535e-003  ,9.02943e-006  ,-3.68506e-003  ,4.18585e-003
21  ,-2.15449e-003  ,7.46455e-006  ,-3.58055e-003  ,4.17878e-003
22  ,-2.24778e-003  ,5.09108e-006  ,-3.50909e-003  ,4.16729e-003
23  ,-2.28550e-003  ,2.94811e-006  ,-3.47478e-003  ,4.15904e-003
24  ,-2.28536e-003  ,1.93339e-006  ,-3.47013e-003  ,4.15507e-003
25  ,-2.27570e-003  ,-4.67234e-006  ,-3.47234e-003  ,4.15162e-003
26  ,-2.24968e-003  ,-7.12519e-006  ,-3.37508e-003  ,4.05614e-003
27  ,-2.18315e-003  ,-6.86732e-006  ,-3.23465e-003  ,3.90246e-003
28  ,-2.06546e-003  ,-7.02209e-006  ,-3.03318e-003  ,3.66965e-003
29  ,-1.87366e-003  ,-6.80705e-006  ,-2.74681e-003  ,3.32500e-003
30  ,-1.53326e-003  ,-5.59119e-006  ,-2.29176e-003  ,2.75737e-003
31  ,-1.14731e-003  ,-5.48342e-006  ,-1.81671e-003  ,2.14867e-003
32  ,-7.50036e-004  ,-3.92218e-006  ,-1.35472e-003  ,1.54849e-003
33  ,-3.77275e-004  ,-1.85833e-006  ,-9.42468e-004  ,1.01518e-003
34  ,-1.50391e-004  ,-7.29319e-007  ,-7.03309e-004  ,7.19209e-004
35  ,2.86409e-006  ,7.60816e-007  ,-5.48660e-004  ,5.48668e-004
36  ,1.02103e-004  ,1.68296e-006  ,-4.53540e-004  ,4.64894e-004
37  ,1.65298e-004  ,3.12518e-006  ,-3.93649e-004  ,4.26957e-004
38  ,1.36475e-004  ,3.48941e-006  ,-3.47379e-004  ,3.73242e-004
39  ,1.06032e-004  ,3.19099e-006  ,-2.99596e-004  ,3.17821e-004
40  ,7.39685e-005  ,3.10143e-006  ,-2.47670e-004  ,2.58498e-004
41  ,4.29924e-005  ,2.92363e-006  ,-1.93469e-004  ,1.98210e-004
42  ,1.52090e-005  ,2.55081e-006  ,-1.37134e-004  ,1.37999e-004
43  ,-1.10689e-007  ,2.15207e-006  ,-9.58163e-005  ,9.58405e-005
44  ,-6.75759e-006  ,1.83122e-006  ,-6.59125e-005  ,6.62833e-005
45  ,-7.88627e-006  ,1.34545e-006  ,-4.42072e-005  ,4.49252e-005
46  ,-7.45680e-006  ,9.10324e-007  ,-3.10303e-005  ,3.19266e-005
47  ,-7.14546e-006  ,7.51399e-007  ,-2.09033e-005  ,2.21036e-005
48  ,-5.16232e-006  ,5.92914e-007  ,-1.38573e-005  ,1.47995e-005
49  ,1.17599e-005  ,-1.57285e-006  ,-2.44592e-005  ,2.71849e-005
50  ,3.11701e-007  ,1.09090e-006  ,-1.11602e-005  ,1.12177e-005
51  ,-1.55423e-007  ,3.89868e-007  ,-5.01409e-006  ,5.03162e-006
52  ,1.11379e-007  ,9.79447e-008  ,-2.25130e-006  ,2.25618e-006
53  ,1.26768e-007  ,2.47363e-008  ,-8.75037e-007  ,8.84517e-007
54  ,1.90927e-008  ,1.29608e-008  ,-1.36567e-007  ,1.38503e-007
55  ,2.18732e-009  ,7.61811e-010  ,-2.44379e-008  ,2.45474e-008
56  ,-5.20605e-009  ,-4.66612e-009  ,-6.39298e-008  ,6.43109e-008
57  ,-3.83949e-008  ,-4.56649e-008  ,-4.01107e-007  ,4.05520e-007
58  ,-8.48139e-008  ,-1.15769e-007  ,-1.03023e-006  ,1.04018e-006
59  ,-5.30268e-008  ,-1.91776e-007  ,-2.17680e-006  ,2.18588e-006
60  ,-7.60536e-008  ,-5.34214e-007  ,-4.40216e-006  ,4.43510e-006
