18:48, Friday, January 18, 2019
Study name:Static 2 Square Diamond Compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-1.28508e-005  ,4.22010e-006  ,4.31860e-006  ,-7.86718e-008  ,-1.49640e-006  ,2.36630e-008
2  ,9.27989e-007  ,-1.19597e-006  ,1.46873e-006  ,2.97465e-008  ,-4.75273e-006  ,-9.38538e-009
3  ,1.29418e-006  ,-1.44469e-006  ,1.63753e-006  ,5.05683e-009  ,-5.78944e-006  ,-8.20239e-009
4  ,9.39885e-007  ,-1.18122e-006  ,1.47679e-006  ,-2.67741e-009  ,-4.78898e-006  ,-2.55857e-008
5  ,7.38309e-007  ,-8.46918e-007  ,9.96518e-007  ,-3.24240e-008  ,-3.43106e-006  ,2.01479e-008
6  ,-2.14552e-005  ,7.15321e-006  ,6.81861e-006  ,-1.85958e-008  ,1.71688e-006  ,8.75416e-009
7  ,-2.02784e-006  ,1.03542e-006  ,-8.59321e-008  ,5.41219e-008  ,4.06314e-006  ,-1.76536e-008
8  ,-2.23441e-006  ,8.98299e-007  ,3.98489e-007  ,2.75820e-008  ,3.58623e-006  ,1.81125e-008
9  ,-1.77935e-006  ,4.99227e-007  ,7.67150e-007  ,-1.11845e-010  ,1.81281e-006  ,-4.13682e-009
10  ,-1.76404e-006  ,4.76381e-007  ,7.73639e-007  ,-2.91456e-008  ,1.83322e-006  ,6.70971e-009
11  ,-1.07348e-006  ,3.04298e-007  ,5.19074e-007  ,-9.52273e-009  ,1.22677e-006  ,-2.23148e-008
12  ,-1.08274e-006  ,8.18774e-007  ,-5.83309e-007  ,-6.71451e-009  ,-3.64688e-006  ,1.55968e-008
13  ,-1.10053e-006  ,8.36480e-007  ,-5.95614e-007  ,2.15395e-008  ,-3.60605e-006  ,1.26372e-008
14  ,-1.31531e-005  ,4.30043e-006  ,4.44747e-006  ,8.22896e-008  ,-1.65309e-006  ,-2.06982e-008
15  ,-1.20681e-006  ,1.19030e-006  ,-1.21518e-006  ,1.56453e-008  ,-4.95513e-006  ,6.07974e-010
16  ,-1.15381e-006  ,1.05363e-006  ,-1.00540e-006  ,-3.47247e-009  ,-4.54697e-006  ,-2.19970e-008
17  ,-1.32007e-006  ,1.45361e-006  ,-1.62945e-006  ,-3.97344e-009  ,-5.91278e-006  ,-5.92515e-009
18  ,-1.01051e-006  ,1.17615e-006  ,-1.37314e-006  ,4.87469e-009  ,-4.82015e-006  ,4.54264e-009
19  ,-1.13447e-006  ,1.29083e-006  ,-1.49104e-006  ,3.17935e-009  ,-5.29872e-006  ,-2.47817e-009
20  ,-1.34621e-006  ,1.47768e-006  ,-1.65326e-006  ,1.38658e-008  ,-6.03224e-006  ,5.75213e-009
21  ,-1.37122e-006  ,1.51059e-006  ,-1.69956e-006  ,1.12242e-008  ,-6.24373e-006  ,1.51315e-008
22  ,-1.11235e-006  ,1.27076e-006  ,-1.46950e-006  ,2.64617e-009  ,-5.19702e-006  ,2.38920e-009
23  ,1.57045e-006  ,4.37413e-006  ,-1.06191e-005  ,9.56232e-007  ,7.56260e-006  ,-1.20633e-006
24  ,-7.33226e-007  ,9.44956e-007  ,-1.19281e-006  ,-1.28511e-008  ,-3.87015e-006  ,-1.63594e-008
25  ,-1.10038e-006  ,1.52973e-006  ,-2.02083e-006  ,-1.66422e-008  ,-6.30448e-006  ,-1.07655e-008
26  ,-1.09096e-006  ,1.52483e-006  ,-2.01649e-006  ,4.98690e-009  ,-6.31172e-006  ,2.16905e-008
27  ,-1.41482e-006  ,1.70515e-006  ,-2.02368e-006  ,4.90955e-009  ,-6.96130e-006  ,1.20837e-008
