19:00, Friday, January 18, 2019
Study name:Static 3 Square Diamond Torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,5.92522e-003  ,-1.41075e-002  ,1.18238e-003  ,1.53469e-002
2  ,5.61113e-003  ,-1.31703e-002  ,-1.08657e-003  ,1.43570e-002
3  ,1.05336e-002  ,-2.98341e-002  ,-3.12403e-003  ,3.17929e-002
4  ,1.94984e-002  ,-6.80082e-002  ,-4.60320e-003  ,7.08977e-002
5  ,3.43929e-002  ,-1.49699e-001  ,-6.33024e-003  ,1.53729e-001
6  ,5.21918e-002  ,-3.04190e-001  ,-8.04577e-003  ,3.08740e-001
7  ,8.85812e-002  ,-9.27517e-001  ,-1.08638e-002  ,9.31800e-001
8  ,1.08839e-001  ,-1.88665e+000  ,-1.24720e-002  ,1.88982e+000
9  ,1.11083e-001  ,-2.37209e+000  ,-1.27698e-002  ,2.37472e+000
10  ,1.10733e-001  ,-2.80034e+000  ,-1.27592e-002  ,2.80256e+000
11  ,1.12714e-001  ,-3.17421e+000  ,-1.20947e-002  ,3.17624e+000
12  ,1.18698e-001  ,-3.49903e+000  ,-9.75758e-003  ,3.50105e+000
13  ,1.23696e-001  ,-4.04663e+000  ,-8.75182e-003  ,4.04853e+000
14  ,1.28097e-001  ,-4.38481e+000  ,-9.80067e-003  ,4.38670e+000
15  ,1.20967e-001  ,-4.84025e+000  ,-8.19615e-003  ,4.84177e+000
16  ,1.02107e-001  ,-5.44612e+000  ,-6.99838e-003  ,5.44708e+000
17  ,7.18011e-002  ,-6.25123e+000  ,-5.19245e-003  ,6.25165e+000
18  ,2.27408e-002  ,-7.39913e+000  ,-2.58393e-003  ,7.39916e+000
19  ,-3.86731e-002  ,-8.63288e+000  ,-1.71535e-003  ,8.63296e+000
20  ,-1.11816e-001  ,-9.95057e+000  ,-5.04393e-004  ,9.95120e+000
21  ,-1.96874e-001  ,-1.13500e+001  ,8.94977e-004  ,1.13517e+001
22  ,-2.70265e-001  ,-1.24545e+001  ,8.51166e-004  ,1.24574e+001
23  ,-3.33995e-001  ,-1.33694e+001  ,1.03645e-003  ,1.33736e+001
24  ,-3.88514e-001  ,-1.41213e+001  ,1.47869e-003  ,1.41266e+001
25  ,-4.36516e-001  ,-1.47350e+001  ,1.30084e-003  ,1.47414e+001
26  ,-3.88305e-001  ,-1.41113e+001  ,6.24293e-004  ,1.41167e+001
27  ,-3.33133e-001  ,-1.33488e+001  ,8.01268e-005  ,1.33530e+001
28  ,-2.70360e-001  ,-1.24234e+001  ,1.20212e-004  ,1.24264e+001
29  ,-1.98179e-001  ,-1.13106e+001  ,1.34516e-004  ,1.13123e+001
30  ,-1.09282e-001  ,-9.80047e+000  ,1.07352e-003  ,9.80108e+000
31  ,-3.52287e-002  ,-8.39666e+000  ,9.79220e-004  ,8.39673e+000
32  ,2.23028e-002  ,-7.10095e+000  ,2.53749e-003  ,7.10099e+000
33  ,6.59150e-002  ,-5.91653e+000  ,4.71104e-003  ,5.91690e+000
34  ,8.93398e-002  ,-5.15885e+000  ,5.51657e-003  ,5.15962e+000
