19:00, Friday, January 18, 2019
Study name:Static 3 Square Diamond Torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,5.52176e-004  ,-1.20781e-004  ,-2.12844e-004  ,-5.29516e-004  ,5.49037e-006  ,-2.38879e-006
2  ,-5.67218e-004  ,1.29209e-004  ,2.43880e-004  ,4.06527e-004  ,7.39639e-004  ,-2.20784e-004
3  ,8.12119e-005  ,-7.94381e-005  ,7.01098e-007  ,2.94399e-004  ,-7.26942e-005  ,-3.14669e-004
4  ,5.96401e-004  ,-1.53169e-004  ,-2.45675e-004  ,-3.67944e-004  ,-7.47652e-004  ,1.59545e-004
5  ,1.72376e-004  ,2.83129e-005  ,-9.51464e-005  ,-5.78405e-004  ,-2.71808e-004  ,5.37706e-004
6  ,8.16963e-006  ,-1.12239e-005  ,2.85156e-006  ,-1.22675e-007  ,-8.23874e-006  ,-4.51815e-005
7  ,-1.27741e-004  ,2.52142e-005  ,5.24746e-005  ,1.42182e-004  ,1.99534e-004  ,-3.79126e-005
8  ,-1.61657e-005  ,1.23260e-005  ,3.49260e-006  ,-1.76333e-005  ,1.66983e-005  ,3.10760e-005
9  ,-1.08515e-004  ,-1.13213e-005  ,6.93821e-005  ,2.01632e-004  ,1.66816e-004  ,-1.07180e-004
10  ,1.03613e-004  ,-9.14469e-006  ,-5.10168e-005  ,-1.42872e-004  ,-1.46124e-004  ,7.12122e-005
11  ,2.84471e-005  ,-3.76939e-005  ,4.35652e-006  ,5.90144e-005  ,-1.98088e-005  ,-8.26906e-005
12  ,-9.10909e-006  ,2.97860e-006  ,-1.16594e-006  ,1.62525e-005  ,-2.43906e-005  ,1.24386e-005
13  ,4.53387e-006  ,1.70180e-006  ,-4.72613e-007  ,-1.77004e-005  ,1.66247e-005  ,-1.52045e-005
14  ,5.57967e-004  ,-1.23243e-004  ,-2.12279e-004  ,-5.37097e-004  ,1.01013e-005  ,-1.29855e-006
15  ,1.03241e-008  ,-3.03810e-007  ,-1.75164e-007  ,1.61589e-006  ,7.38529e-007  ,2.51724e-006
16  ,1.02505e-005  ,-6.91799e-007  ,3.34850e-006  ,-3.25381e-005  ,4.16109e-005  ,-2.75146e-005
17  ,-9.62052e-006  ,2.76669e-007  ,6.53349e-007  ,2.47413e-005  ,-2.94911e-005  ,1.84251e-005
18  ,-7.71859e-006  ,1.21109e-006  ,1.73917e-006  ,1.24645e-005  ,-1.74705e-005  ,6.99835e-006
19  ,1.10324e-005  ,4.06923e-007  ,-2.11313e-006  ,-2.73346e-005  ,2.95292e-005  ,-2.20878e-005
20  ,1.00796e-005  ,-1.80410e-006  ,5.76766e-007  ,-2.35391e-005  ,3.19535e-005  ,-1.90803e-005
21  ,1.24937e-006  ,-1.23184e-006  ,2.06031e-007  ,2.26755e-006  ,3.39652e-006  ,3.31337e-006
22  ,-1.20071e-006  ,1.35673e-006  ,-2.29471e-007  ,-6.13261e-007  ,-1.39266e-006  ,-2.41534e-006
23  ,-4.57510e-006  ,-5.29880e-006  ,1.66659e-005  ,-3.25328e-006  ,-1.51099e-005  ,1.63914e-005
24  ,-1.61859e-005  ,4.41894e-006  ,4.09464e-006  ,2.00010e-005  ,-3.02798e-005  ,7.92259e-006
25  ,1.07451e-005  ,8.03511e-007  ,-2.31210e-006  ,-2.75387e-005  ,3.03725e-005  ,-1.90332e-005
26  ,-1.39625e-005  ,8.17062e-007  ,3.92989e-006  ,2.73927e-005  ,-2.84694e-005  ,1.80777e-005
27  ,1.47474e-006  ,-2.11933e-006  ,6.16727e-007  ,2.68921e-006  ,4.23751e-006  ,3.94256e-006
28  ,4.09732e-005  ,-1.00312e-006  ,-2.17691e-005  ,-6.53015e-005  ,-6.15284e-005  ,3.36187e-005
29  ,1.84455e-005  ,2.45677e-006  ,-1.17544e-005  ,-3.29524e-005  ,-2.24347e-005  ,1.71123e-005
30  ,-4.59505e-005  ,2.21736e-006  ,2.34487e-005  ,7.14421e-005  ,7.42682e-005  ,-2.93326e-005
31  ,-4.26703e-005  ,-7.73319e-006  ,2.82535e-005  ,8.76500e-005  ,6.99121e-005  ,-4.61235e-005
32  ,-2.84745e-005  ,-3.66062e-006  ,1.85617e-005  ,5.14620e-005  ,4.48859e-005  ,-2.43886e-005
33  ,-2.11073e-004  ,1.39310e-005  ,1.20699e-004  ,2.76371e-004  ,2.64118e-004  ,-1.37122e-004
