20:20, Thursday, January 17, 2019
Study name:Static 1 Square Tension
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,2.42926e-003  ,1.07894e-004  ,-2.65728e-005  ,2.43180e-003
2  ,2.41970e-003  ,1.08964e-004  ,-2.43562e-005  ,2.42228e-003
3  ,2.41979e-003  ,1.07095e-004  ,-2.37666e-005  ,2.42228e-003
4  ,2.42056e-003  ,1.04787e-004  ,-2.37243e-005  ,2.42294e-003
5  ,2.42137e-003  ,1.01862e-004  ,-2.37805e-005  ,2.42363e-003
6  ,2.42291e-003  ,9.53750e-005  ,-2.40433e-005  ,2.42490e-003
7  ,2.42366e-003  ,8.87262e-005  ,-2.44544e-005  ,2.42541e-003
8  ,2.42355e-003  ,8.56169e-005  ,-2.47060e-005  ,2.42519e-003
9  ,2.42301e-003  ,8.31754e-005  ,-2.48539e-005  ,2.42456e-003
10  ,2.42284e-003  ,8.15294e-005  ,-2.41964e-005  ,2.42433e-003
11  ,2.43257e-003  ,7.72010e-005  ,-2.27654e-005  ,2.43391e-003
12  ,2.45120e-003  ,7.73335e-005  ,-2.45941e-005  ,2.45254e-003
13  ,2.47158e-003  ,7.83189e-005  ,-2.65667e-005  ,2.47296e-003
14  ,2.49685e-003  ,7.93008e-005  ,-2.89247e-005  ,2.49828e-003
15  ,2.52833e-003  ,8.04902e-005  ,-3.24972e-005  ,2.52982e-003
16  ,2.59601e-003  ,8.28803e-005  ,-4.11727e-005  ,2.59765e-003
17  ,2.66293e-003  ,8.51571e-005  ,-4.86837e-005  ,2.66474e-003
18  ,2.69355e-003  ,8.62060e-005  ,-5.09438e-005  ,2.69541e-003
19  ,2.71788e-003  ,8.70927e-005  ,-5.20143e-005  ,2.71977e-003
20  ,2.73756e-003  ,8.74490e-005  ,-5.13078e-005  ,2.73944e-003
21  ,2.75547e-003  ,8.84344e-005  ,-5.05954e-005  ,2.75735e-003
22  ,2.76441e-003  ,9.29972e-005  ,-5.37737e-005  ,2.76650e-003
23  ,2.76339e-003  ,9.56317e-005  ,-5.56894e-005  ,2.76561e-003
24  ,2.76117e-003  ,9.87170e-005  ,-5.72421e-005  ,2.76352e-003
25  ,2.75859e-003  ,1.02569e-004  ,-5.89557e-005  ,2.76113e-003
26  ,2.75399e-003  ,1.10695e-004  ,-6.21974e-005  ,2.75692e-003
27  ,2.75266e-003  ,1.18407e-004  ,-6.48504e-005  ,2.75596e-003
28  ,2.75379e-003  ,1.21799e-004  ,-6.58634e-005  ,2.75727e-003
29  ,2.75587e-003  ,1.24548e-004  ,-6.66592e-005  ,2.75948e-003
30  ,2.75814e-003  ,1.26984e-004  ,-6.80578e-005  ,2.76190e-003
31  ,2.74977e-003  ,1.26130e-004  ,-7.01468e-005  ,2.75356e-003
32  ,2.73162e-003  ,1.24793e-004  ,-6.66613e-005  ,2.73528e-003
33  ,2.71143e-003  ,1.23883e-004  ,-6.26544e-005  ,2.71498e-003
34  ,2.68653e-003  ,1.22560e-004  ,-5.81168e-005  ,2.68996e-003
35  ,2.65545e-003  ,1.20797e-004  ,-5.23992e-005  ,2.65871e-003
36  ,2.58840e-003  ,1.16782e-004  ,-4.06392e-005  ,2.59135e-003
37  ,2.52178e-003  ,1.12821e-004  ,-3.11275e-005  ,2.52450e-003
38  ,2.49120e-003  ,1.11032e-004  ,-2.79522e-005  ,2.49383e-003
39  ,2.46686e-003  ,1.09672e-004  ,-2.60712e-005  ,2.46944e-003
40  ,2.44722e-003  ,1.08364e-004  ,-2.58099e-005  ,2.44975e-003
