18:16, Friday, January 18, 2019
Study name:Static 2 Square Compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,5.87386e-008  ,5.61733e-008  ,-1.69387e-007  ,1.83066e-008  ,1.20291e-007  ,-2.76728e-008
2  ,6.11378e-009  ,1.18019e-008  ,-5.60705e-008  ,-2.61840e-009  ,1.72002e-007  ,-9.56964e-009
3  ,-2.84035e-008  ,-1.65704e-008  ,6.45053e-008  ,-1.34756e-008  ,1.16534e-007  ,-2.79205e-008
4  ,1.78386e-008  ,3.18042e-008  ,-1.30522e-007  ,-9.89798e-009  ,1.99659e-007  ,1.27208e-008
5  ,-1.03405e-007  ,-1.13743e-007  ,4.22795e-007  ,7.68131e-009  ,-3.86778e-007  ,-2.79095e-008
6  ,-1.16287e-007  ,-1.12989e-007  ,2.81444e-007  ,-6.73520e-009  ,-3.97933e-007  ,5.49523e-008
7  ,-9.08559e-009  ,1.30122e-008  ,-8.72911e-008  ,-1.84105e-008  ,-4.00500e-007  ,-2.02987e-008
8  ,-2.19598e-008  ,-3.83770e-008  ,1.50482e-007  ,-6.77269e-009  ,-4.16948e-007  ,4.76275e-008
9  ,-3.18637e-006  ,1.05162e-006  ,1.05147e-006  ,6.29957e-010  ,5.03854e-010  ,-8.47763e-011
10  ,-3.18831e-006  ,1.05213e-006  ,1.05222e-006  ,-8.38187e-010  ,1.28164e-009  ,-8.18534e-011
11  ,-3.18756e-006  ,1.05188e-006  ,1.05145e-006  ,-3.69653e-011  ,1.52606e-009  ,-1.38747e-010
12  ,-3.18794e-006  ,1.05221e-006  ,1.05202e-006  ,-6.15110e-010  ,2.66758e-009  ,-6.15678e-011
13  ,3.08760e-008  ,2.83339e-009  ,-1.67753e-008  ,-1.48139e-009  ,-2.24812e-008  ,-7.91015e-009
14  ,4.76413e-009  ,-3.49666e-008  ,4.80460e-008  ,-9.99065e-010  ,-1.06399e-007  ,1.37808e-008
15  ,-4.12460e-008  ,-5.92205e-009  ,4.22618e-008  ,-4.97270e-008  ,-2.01336e-007  ,3.78730e-008
16  ,-3.74712e-008  ,4.72541e-008  ,-1.19468e-008  ,-2.95832e-008  ,-8.93277e-008  ,6.49248e-008
17  ,2.59640e-008  ,4.73797e-009  ,-1.31555e-008  ,-1.09991e-008  ,-3.06808e-008  ,9.76948e-009
18  ,-3.18828e-006  ,1.05213e-006  ,1.05218e-006  ,4.87425e-011  ,8.10917e-010  ,7.28334e-011
19  ,-3.18875e-006  ,1.05236e-006  ,1.05223e-006  ,4.35504e-011  ,4.67316e-010  ,9.38148e-011
20  ,-3.19002e-006  ,1.05271e-006  ,1.05276e-006  ,6.18297e-011  ,1.06300e-010  ,9.88655e-011
21  ,-3.19013e-006  ,1.05271e-006  ,1.05266e-006  ,1.20726e-011  ,6.23667e-010  ,7.27601e-011
22  ,-3.24770e-006  ,1.09526e-006  ,9.82379e-007  ,3.34718e-008  ,-2.07555e-007  ,7.16044e-009
23  ,-3.15481e-006  ,1.04466e-006  ,1.03210e-006  ,-1.70498e-009  ,-5.29959e-009  ,2.46988e-009
24  ,-3.23661e-006  ,1.06952e-006  ,1.06487e-006  ,-3.97822e-009  ,-7.47440e-009  ,-7.46609e-010
25  ,1.56864e-009  ,1.74816e-009  ,-4.41966e-009  ,1.01973e-010  ,1.60110e-009  ,-8.15978e-010
26  ,2.34485e-008  ,-5.13140e-010  ,-2.20951e-008  ,-1.98755e-009  ,-3.01775e-008  ,-9.61169e-009
27  ,-3.19142e-006  ,1.05341e-006  ,1.05313e-006  ,2.03599e-010  ,-2.11330e-009  ,6.06705e-011
28  ,2.99491e-008  ,-7.73721e-009  ,-1.35300e-008  ,-2.75226e-009  ,-1.06698e-008  ,-4.11961e-009
29  ,-3.19165e-006  ,1.05327e-006  ,1.05320e-006  ,-7.24327e-011  ,3.89530e-010  ,-1.59153e-010
30  ,-3.77381e-008  ,-7.11683e-008  ,1.35853e-007  ,1.74984e-008  ,2.06328e-007  ,-1.47893e-008
31  ,-5.26412e-008  ,8.17608e-008  ,-1.52119e-007  ,-8.92304e-008  ,2.22440e-008  ,3.16634e-008
32  ,-8.25952e-010  ,-1.02885e-008  ,2.59298e-008  ,-1.45359e-009  ,-1.22846e-007  ,4.52135e-009
33  ,1.11418e-009  ,1.19044e-009  ,-3.16638e-009  ,-5.98308e-011  ,-1.49012e-009  ,1.48127e-010
34  ,-3.19310e-006  ,1.05310e-006  ,1.05364e-006  ,-1.50132e-010  ,4.26359e-009  ,-2.16034e-010
35  ,-3.19352e-006  ,1.05372e-006  ,1.05383e-006  ,-3.48818e-010  ,-7.24627e-010  ,2.23569e-010
36  ,-1.12956e-008  ,-6.31851e-008  ,1.06778e-007  ,4.68443e-008  ,1.93462e-007  ,1.30144e-008
37  ,-6.25248e-009  ,-2.74395e-008  ,5.99445e-008  ,-1.13598e-008  ,7.42101e-008  ,-1.97571e-008
38  ,-4.79114e-008  ,7.56141e-008  ,-1.42175e-007  ,-5.93499e-008  ,5.17991e-008  ,-1.70721e-008
39  ,-3.19152e-006  ,1.05323e-006  ,1.05328e-006  ,-3.68725e-010  ,6.09515e-010  ,2.64173e-011
40  ,-3.13333e-006  ,1.06224e-006  ,9.66216e-007  ,-4.33739e-008  ,-9.32406e-008  ,2.01219e-008
41  ,-7.15351e-008  ,-1.63688e-008  ,4.92380e-008  ,-6.13454e-009  ,1.48129e-007  ,5.65541e-008
42  ,9.36442e-009  ,3.53833e-009  ,-1.72301e-008  ,-4.50238e-010  ,7.96559e-009  ,1.29243e-010
43  ,-3.09042e-006  ,1.08218e-006  ,9.05391e-007  ,-1.12984e-009  ,1.00023e-007  ,5.01583e-009
44  ,7.12203e-010  ,-7.64221e-009  ,1.04443e-008  ,1.08786e-010  ,1.36605e-008  ,1.02638e-008
45  ,4.05359e-008  ,-7.90878e-009  ,-3.30340e-008  ,1.89203e-008  ,2.02379e-008  ,-5.92772e-009
46  ,1.83869e-009  ,-1.28864e-009  ,2.63297e-009  ,2.35575e-009  ,3.22280e-009  ,-1.46100e-009
47  ,2.74313e-008  ,-2.91608e-009  ,-2.39503e-008  ,3.68192e-009  ,-3.69569e-008  ,5.79975e-009
48  ,3.40648e-009  ,6.45998e-008  ,-1.45416e-007  ,1.82321e-008  ,-2.77211e-008  ,-1.08142e-008
49  ,5.46083e-008  ,5.47500e-008  ,-1.76526e-007  ,1.35316e-008  ,-6.40730e-008  ,1.73160e-008
50  ,8.18933e-008  ,6.48061e-008  ,-2.24891e-007  ,-1.39501e-009  ,-2.55549e-008  ,2.10720e-010
51  ,-2.20160e-007  ,1.17243e-007  ,6.27580e-009  ,-3.62510e-008  ,-4.75311e-007  ,-1.37009e-007
52  ,-3.04552e-007  ,2.76418e-007  ,2.98301e-008  ,5.45577e-008  ,5.70668e-007  ,-2.61691e-008
53  ,-5.31212e-008  ,1.03231e-007  ,-1.64541e-007  ,1.69760e-008  ,-2.36133e-008  ,8.51782e-009
54  ,-3.19261e-006  ,1.05325e-006  ,1.05386e-006  ,2.13875e-010  ,-4.73095e-010  ,1.92286e-010
55  ,3.47268e-009  ,-2.95548e-008  ,4.53290e-008  ,2.66714e-008  ,1.26533e-007  ,-8.44933e-009
56  ,-4.51785e-008  ,7.07740e-008  ,-1.31243e-007  ,-7.97002e-008  ,1.20845e-008  ,3.79841e-008
57  ,3.07607e-008  ,-8.15347e-009  ,-2.40574e-008  ,-7.32895e-009  ,-5.67361e-008  ,5.39908e-009
58  ,-5.22381e-008  ,-7.20136e-008  ,1.82944e-007  ,-3.40152e-008  ,-1.41032e-007  ,1.17136e-008
59  ,-3.19029e-006  ,1.05284e-006  ,1.05278e-006  ,-4.30220e-011  ,-1.14158e-009  ,-2.19754e-010
60  ,-3.27504e-006  ,1.10758e-006  ,1.05100e-006  ,-4.07884e-009  ,-7.48367e-008  ,4.96053e-009
61  ,-3.18743e-006  ,1.07975e-006  ,9.84422e-007  ,-2.43303e-008  ,-9.08027e-008  ,9.92215e-009
62  ,-3.02904e-006  ,1.01022e-006  ,9.89193e-007  ,1.80344e-009  ,1.69413e-008  ,-2.09707e-009
63  ,-2.97220e-006  ,1.05752e-006  ,8.32292e-007  ,-3.78899e-008  ,2.38376e-008  ,-7.15861e-010
64  ,-3.24411e-006  ,1.10657e-006  ,9.78278e-007  ,2.60378e-008  ,9.25180e-008  ,5.06797e-009
65  ,-1.23927e-007  ,-1.15436e-007  ,3.74705e-007  ,8.72858e-009  ,-1.59074e-007  ,-3.70116e-008
66  ,2.92909e-008  ,3.00619e-008  ,-1.02821e-007  ,-6.33390e-009  ,-9.71380e-008  ,1.09600e-008
67  ,2.16290e-007  ,2.00030e-007  ,-6.29780e-007  ,-1.17275e-008  ,-1.06454e-008  ,-2.20689e-008
68  ,-3.06413e-006  ,1.02532e-006  ,9.82786e-007  ,7.07527e-010  ,-5.65577e-008  ,-1.22739e-009
69  ,-3.01629e-006  ,1.09471e-006  ,8.24118e-007  ,-2.08325e-008  ,7.89669e-009  ,1.99284e-008
70  ,-7.96612e-009  ,-3.05562e-008  ,5.10355e-008  ,-1.67019e-009  ,-8.81553e-008  ,-9.10211e-009
71  ,5.92691e-007  ,2.42778e-007  ,-1.00304e-006  ,2.56859e-007  ,-2.51721e-006  ,2.73655e-007
72  ,2.50962e-007  ,4.89319e-007  ,-1.36341e-006  ,1.68412e-007  ,-2.85422e-006  ,6.19190e-008
73  ,1.02293e-006  ,1.15495e-006  ,-3.23050e-006  ,4.83189e-009  ,-8.29487e-007  ,1.60109e-007
74  ,-9.59947e-008  ,2.20222e-008  ,1.89074e-008  ,2.52410e-007  ,-2.37073e-006  ,4.21416e-007
75  ,1.41420e-007  ,5.08201e-007  ,-1.16897e-006  ,-7.06561e-008  ,-2.88465e-006  ,-3.26860e-007
76  ,-3.29791e-006  ,1.09524e-006  ,1.01288e-006  ,1.11321e-009  ,-5.48714e-007  ,4.02820e-008
77  ,-2.96120e-006  ,1.08311e-006  ,7.55670e-007  ,-7.91938e-009  ,-2.33524e-007  ,-1.87308e-008
78  ,-2.87003e-006  ,8.77645e-007  ,1.09082e-006  ,2.35193e-008  ,1.20834e-007  ,-1.79796e-009
79  ,-2.65729e-006  ,9.10498e-007  ,8.50941e-007  ,1.17111e-009  ,4.57904e-007  ,-4.58702e-009
80  ,-2.67099e-006  ,9.04939e-007  ,9.06159e-007  ,-4.77192e-008  ,-4.54565e-007  ,-2.59666e-008
81  ,-2.89818e-006  ,8.84911e-007  ,1.10320e-006  ,-1.13540e-008  ,7.47417e-008  ,3.77271e-009
82  ,-3.18869e-006  ,1.05198e-006  ,1.05230e-006  ,-1.65437e-010  ,6.00916e-009  ,1.31783e-010
83  ,-3.19965e-006  ,1.05611e-006  ,1.05582e-006  ,8.16016e-010  ,2.99995e-009  ,1.64489e-010
84  ,-3.19173e-006  ,1.05338e-006  ,1.05315e-006  ,2.47799e-010  ,-1.17328e-010  ,-1.23494e-010
85  ,-3.18681e-006  ,1.05180e-006  ,1.05166e-006  ,-4.83114e-011  ,5.28860e-011  ,1.63238e-010
86  ,-2.14684e-009  ,-2.13017e-009  ,6.60114e-009  ,3.38934e-011  ,-6.23327e-010  ,-3.28337e-011
87  ,-3.19277e-006  ,1.05375e-006  ,1.05352e-006  ,-1.23436e-010  ,1.06506e-010  ,-1.01572e-010
88  ,-3.10427e-006  ,1.02420e-006  ,1.02142e-006  ,2.06926e-008  ,-9.91512e-008  ,-9.77141e-009
89  ,-3.39093e-006  ,1.09948e-006  ,1.10126e-006  ,-1.62724e-008  ,-1.10802e-007  ,-1.12057e-008
90  ,-2.92364e-006  ,9.72725e-007  ,9.66597e-007  ,2.38026e-008  ,-6.01720e-008  ,1.15406e-009
