18:28, Friday, January 18, 2019
Study name:Static 3 Square Torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,-5.39790e+001  ,-2.58862e+002  ,-5.10028e-004  ,2.64430e+002
2  ,-5.39797e+001  ,-2.58860e+002  ,-3.62358e-004  ,2.64428e+002
3  ,-5.39797e+001  ,-2.58860e+002  ,-4.11924e-004  ,2.64428e+002
4  ,-5.39797e+001  ,-2.58860e+002  ,-5.23792e-004  ,2.64428e+002
5  ,-5.39800e+001  ,-2.58861e+002  ,-6.79050e-004  ,2.64429e+002
6  ,-5.39817e+001  ,-2.58865e+002  ,-1.02994e-003  ,2.64433e+002
7  ,-5.39851e+001  ,-2.58871e+002  ,-1.39866e-003  ,2.64440e+002
8  ,-5.39873e+001  ,-2.58875e+002  ,-1.57083e-003  ,2.64444e+002
9  ,-5.39893e+001  ,-2.58878e+002  ,-1.69295e-003  ,2.64448e+002
10  ,-5.39909e+001  ,-2.58881e+002  ,-1.77503e-003  ,2.64452e+002
11  ,-5.39914e+001  ,-2.58885e+002  ,-1.69661e-003  ,2.64456e+002
12  ,-5.47568e+001  ,-2.61551e+002  ,-1.81047e-003  ,2.67221e+002
13  ,-5.57186e+001  ,-2.64889e+002  ,-1.79085e-003  ,2.70686e+002
14  ,-5.69282e+001  ,-2.69074e+002  ,-1.73332e-003  ,2.75030e+002
15  ,-5.84511e+001  ,-2.74321e+002  ,-1.66693e-003  ,2.80479e+002
16  ,-6.17921e+001  ,-2.85757e+002  ,-1.56322e-003  ,2.92362e+002
17  ,-6.51826e+001  ,-2.97268e+002  ,-1.45916e-003  ,3.04330e+002
18  ,-6.67617e+001  ,-3.02600e+002  ,-1.38392e-003  ,3.09877e+002
19  ,-6.80314e+001  ,-3.06875e+002  ,-1.28899e-003  ,3.14325e+002
20  ,-6.90509e+001  ,-3.10300e+002  ,-1.22332e-003  ,3.17890e+002
21  ,-6.98688e+001  ,-3.13044e+002  ,-1.00007e-003  ,3.20746e+002
22  ,-6.98668e+001  ,-3.13042e+002  ,-1.10531e-003  ,3.20744e+002
23  ,-6.98655e+001  ,-3.13040e+002  ,-1.08877e-003  ,3.20742e+002
24  ,-6.98641e+001  ,-3.13038e+002  ,-1.05814e-003  ,3.20740e+002
25  ,-6.98625e+001  ,-3.13035e+002  ,-1.01502e-003  ,3.20736e+002
26  ,-6.98596e+001  ,-3.13030e+002  ,-9.18202e-004  ,3.20730e+002
27  ,-6.98573e+001  ,-3.13025e+002  ,-8.18616e-004  ,3.20725e+002
28  ,-6.98565e+001  ,-3.13023e+002  ,-7.75215e-004  ,3.20724e+002
29  ,-6.98559e+001  ,-3.13022e+002  ,-7.45794e-004  ,3.20722e+002
30  ,-6.98555e+001  ,-3.13021e+002  ,-7.35607e-004  ,3.20721e+002
31  ,-6.98562e+001  ,-3.13020e+002  ,-8.00563e-004  ,3.20720e+002
