18:29, Friday, January 18, 2019
Study name:Static 3 Square Torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-1.83167e-006  ,-1.54641e-006  ,5.24201e-006  ,-2.35728e-007  ,-3.32030e-006  ,3.19437e-006
2  ,-4.02009e-007  ,-5.18986e-007  ,1.80224e-006  ,-1.54725e-007  ,-3.59809e-006  ,1.70567e-006
3  ,1.68222e-006  ,1.43017e-006  ,-4.80223e-006  ,1.04964e-007  ,1.70462e-007  ,1.26657e-007
4  ,4.12268e-007  ,2.66442e-007  ,-2.20239e-007  ,-2.42913e-007  ,-2.63363e-006  ,1.31599e-006
5  ,-3.58579e-007  ,-2.55881e-007  ,-1.64509e-007  ,7.85929e-008  ,3.26233e-006  ,-1.93374e-006
6  ,-1.56857e-007  ,-2.19632e-007  ,1.32512e-006  ,3.79961e-008  ,2.87557e-006  ,-2.82274e-006
7  ,3.39746e-007  ,5.72985e-008  ,3.32940e-007  ,-1.57285e-007  ,4.84367e-006  ,-2.26554e-006
8  ,5.80743e-007  ,5.66442e-007  ,-2.39790e-006  ,1.90287e-007  ,4.60826e-006  ,-3.04134e-006
9  ,2.55343e-004  ,-2.71517e-005  ,-1.13781e-004  ,-3.65289e-004  ,5.74009e-007  ,5.49238e-007
10  ,-2.90113e-004  ,3.61230e-005  ,1.24531e-004  ,3.84133e-004  ,3.96322e-006  ,-1.71232e-006
11  ,2.87002e-004  ,-2.41443e-005  ,-1.25550e-004  ,-4.05086e-004  ,-2.29737e-006  ,-2.19254e-006
12  ,-2.86867e-004  ,3.78292e-005  ,1.21539e-004  ,3.75086e-004  ,1.03873e-006  ,4.63579e-006
13  ,9.97018e-007  ,2.00986e-006  ,-8.92308e-006  ,1.71458e-006  ,3.78983e-007  ,-7.20490e-007
14  ,-3.89198e-006  ,6.95311e-006  ,-2.99740e-006  ,5.92992e-006  ,8.11008e-006  ,1.73352e-006
15  ,-1.22806e-005  ,1.06967e-005  ,6.88324e-006  ,-3.33481e-005  ,-1.37214e-005  ,2.39501e-005
16  ,-8.55841e-006  ,1.07110e-005  ,7.45019e-006  ,6.33497e-007  ,-7.29926e-006  ,1.77800e-005
17  ,-3.53839e-007  ,-2.34481e-006  ,8.54372e-006  ,-4.31444e-006  ,8.37171e-007  ,-2.60051e-007
18  ,-6.32081e-004  ,1.91968e-004  ,2.21110e-004  ,3.08099e-004  ,2.07592e-006  ,2.36590e-006
19  ,-5.63645e-004  ,1.67745e-004  ,1.94593e-004  ,2.67412e-004  ,-2.28969e-006  ,-6.17581e-007
20  ,6.85287e-004  ,-2.01683e-004  ,-2.34477e-004  ,-3.57110e-004  ,7.47742e-007  ,-2.51581e-007
21  ,5.90374e-004  ,-1.73939e-004  ,-2.05136e-004  ,-3.18173e-004  ,1.80437e-006  ,-3.67257e-006
22  ,-4.36658e-005  ,-2.07126e-006  ,2.20666e-005  ,8.18317e-005  ,-2.17346e-006  ,-3.25041e-006
23  ,-8.07987e-005  ,-7.48713e-006  ,4.30602e-005  ,1.59840e-004  ,-4.14141e-007  ,1.07374e-006
24  ,3.05151e-006  ,4.98168e-006  ,-3.90353e-006  ,-1.65589e-005  ,-2.54981e-007  ,9.26588e-007
25  ,-4.85287e-008  ,-8.51204e-008  ,1.90359e-007  ,-1.48322e-008  ,-1.68500e-007  ,-9.27846e-008
26  ,6.08106e-007  ,-3.77040e-006  ,-2.24243e-006  ,-1.29715e-005  ,-5.81547e-006  ,-1.27306e-005
27  ,1.37005e-004  ,1.33700e-005  ,-7.14477e-005  ,-2.64804e-004  ,-2.40832e-006  ,-1.36663e-006
28  ,8.16463e-007  ,-6.36545e-006  ,2.01453e-005  ,-9.33685e-006  ,-4.07941e-006  ,-1.46184e-005
29  ,5.08150e-004  ,-1.21215e-004  ,-1.86272e-004  ,-4.22337e-004  ,1.13939e-006  ,-3.94094e-006
30  ,1.77656e-005  ,-4.72335e-006  ,-2.21062e-005  ,4.48101e-005  ,8.96297e-006  ,4.05548e-005
31  ,-7.40593e-005  ,5.83481e-005  ,-2.06823e-005  ,1.39564e-004  ,-2.02788e-005  ,-9.29030e-005
32  ,-1.59109e-005  ,2.64018e-005  ,-2.28452e-005  ,4.20313e-005  ,2.80218e-005  ,-3.50695e-005
33  ,5.32403e-006  ,5.28895e-006  ,-1.62906e-005  ,-1.13132e-007  ,2.20677e-006  ,-3.01575e-007
34  ,7.64310e-004  ,-2.44941e-004  ,-2.48482e-004  ,-1.49072e-004  ,4.24674e-006  ,-3.34681e-006
35  ,-7.84876e-005  ,-5.67132e-006  ,4.12203e-005  ,1.48669e-004  ,1.17223e-007  ,-1.61003e-006
36  ,-1.93947e-005  ,2.72610e-005  ,-2.30316e-005  ,-6.28201e-005  ,-5.67582e-005  ,-5.37464e-005
37  ,4.04848e-007  ,1.90964e-006  ,1.05613e-005  ,-2.34209e-005  ,2.89168e-005  ,-3.42774e-005
38  ,-1.62362e-004  ,1.24352e-004  ,-1.69611e-005  ,1.60687e-005  ,2.35228e-006  ,1.03535e-004
39  ,-4.83186e-004  ,1.22416e-004  ,1.78260e-004  ,3.75700e-004  ,-4.30091e-006  ,5.63862e-006
40  ,-3.38161e-004  ,-1.85701e-005  ,1.73339e-004  ,6.35973e-004  ,-4.33213e-006  ,5.65544e-006
41  ,3.51167e-005  ,-5.66495e-006  ,3.43942e-006  ,-4.45566e-005  ,1.57924e-005  ,4.23428e-006
42  ,-7.84320e-006  ,-1.02244e-005  ,2.88067e-005  ,-3.62857e-006  ,9.27234e-007  ,-3.42808e-006
43  ,-1.02628e-004  ,-3.40784e-006  ,5.09232e-005  ,1.86041e-004  ,-5.85795e-007  ,2.20979e-007
44  ,-5.31829e-006  ,-9.60942e-006  ,2.02198e-005  ,-1.72371e-005  ,2.10750e-006  ,-4.79241e-006
45  ,1.72349e-005  ,-3.48306e-005  ,4.32484e-005  ,-8.15808e-006  ,1.15135e-005  ,2.95337e-005
46  ,-6.00137e-006  ,-5.06520e-006  ,1.96448e-005  ,-7.74693e-007  ,2.57645e-007  ,2.74631e-006
47  ,7.98098e-008  ,4.68103e-007  ,-1.23794e-006  ,1.25878e-005  ,-5.77266e-007  ,1.47902e-005
48  ,4.66864e-005  ,-4.41147e-005  ,-4.79708e-007  ,1.94712e-006  ,-2.17155e-005  ,1.44876e-004
49  ,-5.19695e-005  ,1.36333e-005  ,1.33794e-005  ,8.70298e-005  ,1.39623e-005  ,1.00657e-004
50  ,1.20441e-006  ,2.74135e-006  ,-8.65987e-006  ,4.53757e-005  ,1.25198e-005  ,-6.15040e-005
51  ,-2.75706e-004  ,1.32594e-004  ,7.62290e-006  ,9.74794e-005  ,-5.79450e-004  ,-6.93471e-005
52  ,5.87532e-005  ,-3.51242e-006  ,-3.42055e-005  ,-8.51800e-006  ,-2.86358e-004  ,-2.24279e-004
53  ,-1.56262e-004  ,1.28732e-004  ,-2.07057e-005  ,1.30564e-004  ,1.36598e-004  ,8.19771e-005
54  ,4.36647e-004  ,-2.08715e-005  ,-2.04853e-004  ,-6.88892e-004  ,1.28477e-007  ,1.25762e-006
55  ,2.18328e-005  ,-2.93915e-005  ,1.36823e-005  ,2.87406e-005  ,1.91685e-005  ,1.71418e-005
56  ,-1.25648e-004  ,9.76863e-005  ,-2.03338e-005  ,1.17949e-004  ,6.99480e-006  ,-1.09212e-004
57  ,1.73141e-005  ,-3.75100e-005  ,4.84094e-005  ,-4.74754e-005  ,-1.21298e-005  ,-4.00328e-007
58  ,-5.86801e-007  ,2.46833e-006  ,-4.60188e-007  ,-1.10012e-005  ,-2.59871e-006  ,-6.95169e-007
59  ,1.50384e-004  ,1.45143e-005  ,-8.23036e-005  ,-2.99118e-004  ,1.28535e-006  ,-1.91783e-006
60  ,4.50955e-005  ,9.76905e-006  ,-2.66966e-005  ,-1.05040e-004  ,-6.63704e-007  ,-1.83729e-007
61  ,1.39147e-004  ,1.72192e-005  ,-7.57659e-005  ,-2.92344e-004  ,-5.77015e-008  ,-6.56626e-007
62  ,4.99877e-005  ,1.05299e-005  ,-2.94424e-005  ,-1.13854e-004  ,4.00595e-007  ,-8.64034e-007
63  ,-1.65015e-004  ,6.73336e-006  ,7.23746e-005  ,2.54770e-004  ,3.28269e-006  ,4.06715e-006
64  ,5.10561e-004  ,4.63648e-006  ,-2.50131e-004  ,-8.96274e-004  ,-1.77011e-005  ,3.20783e-006
65  ,-4.67933e-005  ,8.91597e-006  ,1.56536e-006  ,5.31766e-005  ,8.34038e-006  ,-2.22916e-005
66  ,-2.33738e-005  ,3.03126e-006  ,1.20422e-005  ,9.78346e-005  ,-3.46258e-005  ,-3.96941e-006
67  ,-1.38011e-006  ,-1.79792e-005  ,1.21162e-005  ,1.14810e-005  ,-2.58960e-006  ,5.09425e-005
68  ,1.01779e-003  ,-1.61464e-004  ,-4.21526e-004  ,-1.22619e-003  ,1.84911e-006  ,-3.68990e-006
69  ,2.89479e-004  ,-5.21564e-005  ,-1.09465e-004  ,-3.53959e-004  ,-8.45806e-006  ,7.18890e-006
70  ,-8.22657e-006  ,1.35052e-005  ,-8.65622e-006  ,-2.00965e-006  ,2.77656e-005  ,3.69225e-005
71  ,-2.83766e-006  ,-2.74260e-006  ,8.12429e-006  ,1.00931e-006  ,-8.86732e-007  ,2.92742e-007
72  ,-2.64102e-006  ,-2.42628e-006  ,7.93213e-006  ,-7.97583e-008  ,-1.99577e-006  ,1.83673e-006
