20:00, Friday, January 18, 2019
Study name:Static 1 triangle tension
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,5.44647e-004  ,-1.80046e-006  ,5.27688e-004  ,7.58352e-004
2  ,5.44475e-004  ,-7.15022e-006  ,5.27233e-004  ,7.57943e-004
3  ,5.04085e-004  ,-3.91501e-006  ,5.41938e-004  ,7.40145e-004
4  ,4.72795e-004  ,-3.77665e-006  ,5.55636e-004  ,7.29576e-004
5  ,4.43814e-004  ,-3.28462e-006  ,5.68529e-004  ,7.21253e-004
6  ,4.22037e-004  ,-2.63745e-006  ,5.77412e-004  ,7.15211e-004
7  ,4.20565e-004  ,-1.42125e-006  ,5.74131e-004  ,7.11691e-004
8  ,4.54112e-004  ,-4.84123e-007  ,5.54832e-004  ,7.16977e-004
9  ,5.10856e-004  ,3.68612e-007  ,5.25312e-004  ,7.32753e-004
10  ,5.83147e-004  ,1.13424e-006  ,4.89943e-004  ,7.61647e-004
11  ,6.63427e-004  ,1.80761e-006  ,4.53136e-004  ,8.03412e-004
12  ,7.43903e-004  ,2.51293e-006  ,4.19398e-004  ,8.53986e-004
13  ,8.17019e-004  ,3.12029e-006  ,3.93128e-004  ,9.06686e-004
14  ,8.84692e-004  ,3.57791e-006  ,3.77416e-004  ,9.61840e-004
15  ,9.06249e-004  ,3.69999e-006  ,3.78436e-004  ,9.82097e-004
16  ,9.15993e-004  ,3.69076e-006  ,3.84436e-004  ,9.93402e-004
17  ,9.18085e-004  ,3.88365e-006  ,3.92273e-004  ,9.98386e-004
18  ,9.20357e-004  ,3.38519e-006  ,3.98101e-004  ,1.00277e-003
19  ,9.20710e-004  ,6.12103e-006  ,3.98024e-004  ,1.00308e-003
20  ,9.17990e-004  ,5.71904e-006  ,3.92147e-004  ,9.98257e-004
21  ,9.15880e-004  ,5.84236e-006  ,3.84559e-004  ,9.93356e-004
22  ,9.06124e-004  ,5.71967e-006  ,3.78580e-004  ,9.82047e-004
23  ,8.84562e-004  ,5.43811e-006  ,3.77672e-004  ,9.61830e-004
24  ,8.16754e-004  ,4.67818e-006  ,3.93428e-004  ,9.06584e-004
25  ,7.43621e-004  ,3.82285e-006  ,4.19873e-004  ,8.53979e-004
26  ,6.63129e-004  ,2.83030e-006  ,4.53645e-004  ,8.03456e-004
27  ,5.82826e-004  ,1.82599e-006  ,4.90420e-004  ,7.61709e-004
28  ,5.10494e-004  ,8.16796e-007  ,5.25844e-004  ,7.32882e-004
