20:01, Friday, January 18, 2019
Study name:Static 1 triangle tension
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,6.22148e-007  ,-5.02200e-007  ,3.54267e-007  ,-8.02274e-008  ,-2.05223e-006  ,2.11847e-008
2  ,9.46286e-007  ,-6.43445e-007  ,3.15807e-007  ,2.43068e-008  ,-2.63354e-006  ,1.08469e-007
3  ,7.31838e-008  ,-3.79395e-007  ,5.56128e-007  ,1.06090e-007  ,-1.55502e-006  ,1.35712e-007
4  ,3.72094e-006  ,-1.62613e-006  ,-4.52196e-007  ,2.37695e-008  ,5.96011e-007  ,1.10506e-008
5  ,3.34195e-006  ,-1.42393e-006  ,-4.75033e-007  ,5.88545e-009  ,1.03709e-007  ,2.09778e-008
6  ,3.39091e-006  ,-1.43495e-006  ,-5.04965e-007  ,-8.27437e-009  ,3.42231e-007  ,4.23930e-008
7  ,3.47741e-006  ,-1.55427e-006  ,-3.56778e-007  ,-2.44709e-008  ,4.09284e-007  ,8.24781e-008
8  ,3.56343e-006  ,-1.57073e-006  ,-4.03934e-007  ,-6.01246e-009  ,1.17481e-007  ,-1.79878e-008
9  ,3.40955e-006  ,-1.52376e-006  ,-3.27488e-007  ,-1.68077e-009  ,-1.77700e-007  ,-3.23268e-009
10  ,2.67658e-006  ,-1.11072e-006  ,-4.42065e-007  ,-1.93213e-008  ,3.81110e-007  ,-1.09094e-008
11  ,3.04663e-006  ,-1.26558e-006  ,-5.07758e-007  ,2.00665e-008  ,-1.95542e-007  ,-1.30986e-009
12  ,2.76749e-006  ,-1.14610e-006  ,-4.46697e-007  ,1.09976e-009  ,3.52746e-007  ,-3.80463e-009
13  ,5.41537e-006  ,-1.79973e-006  ,-1.81076e-006  ,8.12496e-008  ,-5.67843e-007  ,-2.34839e-009
14  ,3.85580e-006  ,-1.31777e-006  ,-1.27593e-006  ,4.81919e-008  ,-2.61823e-007  ,-7.79367e-009
15  ,2.99439e-006  ,-1.12625e-006  ,-7.29833e-007  ,3.51465e-008  ,-7.57739e-007  ,-2.30139e-008
16  ,2.76679e-006  ,-1.11662e-006  ,-5.13956e-007  ,-6.85472e-009  ,1.03126e-007  ,-2.25410e-008
17  ,3.72378e-006  ,-1.61613e-006  ,-4.42280e-007  ,1.67125e-008  ,-1.04498e-006  ,-4.86799e-008
18  ,3.65892e-006  ,-1.55507e-006  ,-5.08495e-007  ,3.30153e-008  ,-6.77162e-007  ,-6.52895e-008
19  ,4.17428e-006  ,-1.48445e-006  ,-1.15308e-006  ,-9.62444e-010  ,-3.20056e-007  ,3.91364e-009
20  ,4.16762e-006  ,-1.49873e-006  ,-1.14233e-006  ,-1.55256e-008  ,-3.25345e-007  ,2.22327e-008
21  ,4.10166e-006  ,-1.58024e-006  ,-8.82475e-007  ,3.51826e-008  ,-1.19712e-006  ,3.48306e-008
22  ,3.99756e-006  ,-1.57780e-006  ,-8.25596e-007  ,-3.83826e-008  ,-9.03526e-007  ,5.97566e-010
23  ,4.22838e-006  ,-1.50699e-006  ,-1.16016e-006  ,1.79200e-008  ,-6.38069e-007  ,-7.32785e-009
24  ,3.52269e-006  ,-1.14395e-006  ,-1.16173e-006  ,-7.53825e-008  ,-2.26395e-007  ,-2.22453e-008
25  ,2.06852e-006  ,-1.60324e-006  ,1.16189e-006  ,1.31774e-007  ,4.57385e-006  ,3.60044e-008
26  ,2.02137e-006  ,-1.41242e-006  ,9.93524e-007  ,7.82574e-008  ,3.63005e-006  ,2.01238e-008
27  ,1.42214e-006  ,-1.03015e-006  ,7.11453e-007  ,2.74432e-008  ,4.96064e-006  ,-3.33244e-008
28  ,1.57969e-006  ,-1.31492e-006  ,1.13905e-006  ,5.23797e-008  ,5.56718e-006  ,5.14164e-008
29  ,4.28183e-006  ,-1.41288e-006  ,-1.41324e-006  ,-2.12441e-010  ,-2.38057e-009  ,-1.65398e-010
30  ,4.27973e-006  ,-1.41223e-006  ,-1.41257e-006  ,5.36325e-010  ,-2.42051e-009  ,-3.44559e-012
31  ,4.28720e-006  ,-1.41470e-006  ,-1.41529e-006  ,1.19623e-010  ,-1.67889e-009  ,-1.35693e-010
32  ,4.28693e-006  ,-1.41469e-006  ,-1.41453e-006  ,-7.83937e-011  ,-1.04847e-009  ,-1.28520e-010
33  ,-5.83676e-008  ,-1.19456e-007  ,3.33283e-007  ,9.16619e-009  ,-5.71310e-007  ,-3.86007e-008
34  ,-5.04370e-008  ,6.84221e-010  ,3.19443e-008  ,1.55421e-008  ,-3.16787e-007  ,-6.24460e-008
35  ,1.61071e-007  ,-2.93281e-007  ,4.22963e-007  ,-3.71074e-008  ,-1.20168e-006  ,-1.16060e-008
36  ,3.91628e-009  ,1.36528e-007  ,-2.71338e-007  ,-1.04429e-008  ,-4.36750e-007  ,-2.73800e-008
37  ,-1.27734e-008  ,-1.85040e-007  ,3.52699e-007  ,-6.22699e-008  ,-8.87871e-007  ,3.78936e-008
38  ,-2.38770e-008  ,-1.37811e-007  ,3.07153e-007  ,-2.33971e-008  ,-6.20944e-007  ,4.50190e-009
39  ,5.26168e-008  ,1.45558e-007  ,-3.40196e-007  ,1.93540e-008  ,-3.89541e-007  ,3.14953e-008
40  ,4.40252e-006  ,-1.43661e-006  ,-1.43335e-006  ,6.77290e-008  ,-5.87800e-007  ,6.55084e-010
41  ,3.09882e-006  ,-1.39710e-006  ,-2.89319e-007  ,-7.76409e-009  ,-1.86227e-007  ,-5.26590e-008
