20:20, Friday, January 18, 2019
Study name:Static 3 triangle torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
1  ,-7.23996e-001  ,-8.16878e+000  ,2.28007e-002  ,8.20084e+000
2  ,-3.35711e-002  ,-8.21655e+000  ,3.46635e-003  ,8.21662e+000
3  ,-5.45423e-002  ,-8.54685e+000  ,4.03795e-003  ,8.54702e+000
4  ,-7.63948e-002  ,-8.97234e+000  ,5.24300e-003  ,8.97266e+000
5  ,-1.05642e-001  ,-9.52171e+000  ,7.02078e-003  ,9.52230e+000
6  ,-1.46076e-001  ,-1.02351e+001  ,8.98247e-003  ,1.02362e+001
7  ,-2.40138e-001  ,-1.17503e+001  ,1.21535e-002  ,1.17528e+001
8  ,-3.31435e-001  ,-1.30864e+001  ,1.43484e-002  ,1.30906e+001
9  ,-4.35495e-001  ,-1.44975e+001  ,1.60654e-002  ,1.45041e+001
10  ,-5.52701e-001  ,-1.59812e+001  ,1.74105e-002  ,1.59907e+001
11  ,-6.83392e-001  ,-1.75349e+001  ,1.84580e-002  ,1.75483e+001
12  ,-8.27890e-001  ,-1.91564e+001  ,1.93144e-002  ,1.91743e+001
13  ,-9.86520e-001  ,-2.08433e+001  ,1.98202e-002  ,2.08667e+001
14  ,-1.19773e+000  ,-2.29724e+001  ,2.10178e-002  ,2.30037e+001
15  ,-1.31143e+000  ,-2.40705e+001  ,2.18063e-002  ,2.41062e+001
16  ,-1.40648e+000  ,-2.49646e+001  ,2.18631e-002  ,2.50042e+001
17  ,-1.48417e+000  ,-2.56916e+001  ,2.15272e-002  ,2.57344e+001
18  ,-1.54181e+000  ,-2.62842e+001  ,1.89211e-002  ,2.63294e+001
19  ,-2.71115e+000  ,-2.61460e+001  ,1.69688e-002  ,2.62862e+001
20  ,-2.62540e+000  ,-2.55595e+001  ,1.29726e-002  ,2.56940e+001
21  ,-2.53155e+000  ,-2.48365e+001  ,1.15455e-002  ,2.49652e+001
22  ,-2.41867e+000  ,-2.39463e+001  ,1.07001e-002  ,2.40681e+001
23  ,-2.28227e+000  ,-2.28534e+001  ,1.00447e-002  ,2.29670e+001
24  ,-2.02452e+000  ,-2.07343e+001  ,1.01265e-002  ,2.08329e+001
25  ,-1.82801e+000  ,-1.90553e+001  ,9.79861e-003  ,1.91428e+001
26  ,-1.64500e+000  ,-1.74416e+001  ,1.05605e-002  ,1.75190e+001
27  ,-1.47539e+000  ,-1.58953e+001  ,1.17171e-002  ,1.59636e+001
28  ,-1.31884e+000  ,-1.44189e+001  ,1.32309e-002  ,1.44791e+001
29  ,-1.17503e+000  ,-1.30148e+001  ,1.49881e-002  ,1.30677e+001
30  ,-1.04356e+000  ,-1.16854e+001  ,1.69709e-002  ,1.17319e+001
31  ,-9.00200e-001  ,-1.01780e+001  ,1.94375e-002  ,1.02177e+001
32  ,-8.34843e-001  ,-9.46826e+000  ,2.09098e-002  ,9.50502e+000
33  ,-7.85385e-001  ,-8.92182e+000  ,2.21708e-002  ,8.95635e+000
34  ,-7.47296e-001  ,-8.49827e+000  ,2.29423e-002  ,8.53110e+000
35  ,-5.29204e+000  ,-5.38214e+001  ,3.73093e-002  ,5.40809e+001
36  ,-6.89267e+000  ,-5.35582e+001  ,6.75823e-002  ,5.39999e+001
37  ,-6.75316e+000  ,-5.27353e+001  ,6.66919e-002  ,5.31660e+001
38  ,-6.57780e+000  ,-5.17161e+001  ,6.50985e-002  ,5.21328e+001
39  ,-6.36253e+000  ,-5.04537e+001  ,6.27427e-002  ,5.08534e+001
40  ,-6.09979e+000  ,-4.88947e+001  ,5.97972e-002  ,4.92738e+001
41  ,-5.59575e+000  ,-4.58423e+001  ,5.41587e-002  ,4.61826e+001
42  ,-5.20109e+000  ,-4.33903e+001  ,4.93821e-002  ,4.37010e+001
43  ,-4.82553e+000  ,-4.10005e+001  ,4.46877e-002  ,4.12835e+001
44  ,-4.46895e+000  ,-3.86744e+001  ,4.00620e-002  ,3.89317e+001
45  ,-4.13122e+000  ,-3.64133e+001  ,3.55114e-002  ,3.66470e+001
46  ,-3.81217e+000  ,-3.42190e+001  ,3.10354e-002  ,3.44307e+001
47  ,-3.51160e+000  ,-3.20928e+001  ,2.65836e-002  ,3.22844e+001
48  ,-3.17194e+000  ,-2.96099e+001  ,2.19801e-002  ,2.97793e+001
49  ,-3.01154e+000  ,-2.84077e+001  ,1.86956e-002  ,2.85669e+001
50  ,-2.88846e+000  ,-2.74652e+001  ,1.70543e-002  ,2.76166e+001
51  ,-2.79228e+000  ,-2.67245e+001  ,1.58714e-002  ,2.68699e+001
52  ,-1.59478e+000  ,-2.68701e+001  ,2.10640e-002  ,2.69173e+001
53  ,-1.67565e+000  ,-2.76145e+001  ,2.12316e-002  ,2.76653e+001
54  ,-1.78123e+000  ,-2.85615e+001  ,2.09897e-002  ,2.86170e+001
55  ,-1.91895e+000  ,-2.97693e+001  ,2.03440e-002  ,2.98311e+001
56  ,-2.21528e+000  ,-3.22638e+001  ,2.00738e-002  ,3.23398e+001
57  ,-2.48030e+000  ,-3.43997e+001  ,2.01363e-002  ,3.44890e+001
58  ,-2.76406e+000  ,-3.66039e+001  ,2.06812e-002  ,3.67081e+001
59  ,-3.06679e+000  ,-3.88750e+001  ,2.16807e-002  ,3.89958e+001
60  ,-3.38865e+000  ,-4.12115e+001  ,2.31342e-002  ,4.13506e+001
61  ,-3.72978e+000  ,-4.36117e+001  ,2.50360e-002  ,4.37710e+001
62  ,-4.09030e+000  ,-4.60743e+001  ,2.73440e-002  ,4.62556e+001
63  ,-4.55327e+000  ,-4.91400e+001  ,3.08409e-002  ,4.93505e+001
64  ,-4.79561e+000  ,-5.07057e+001  ,3.26302e-002  ,5.09320e+001
65  ,-4.99465e+000  ,-5.19735e+001  ,3.42034e-002  ,5.22130e+001
66  ,-5.15703e+000  ,-5.29971e+001  ,3.56422e-002  ,5.32474e+001
67  ,-6.80973e-003  ,-1.83923e-002  ,1.80013e-003  ,1.96949e-002
68  ,2.51287e-006  ,-1.83193e-002  ,7.28285e-005  ,1.83194e-002
