20:21, Friday, January 18, 2019
Study name:Static 3 triangle torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
1  ,-1.88326e-004  ,1.26503e-004  ,-6.51019e-005  ,-1.09149e-004  ,4.63084e-004  ,-1.40863e-004
2  ,2.56928e-004  ,-1.71727e-004  ,6.70750e-005  ,-5.32572e-005  ,-6.80487e-004  ,-8.72226e-005
3  ,-2.41961e-005  ,-3.86739e-005  ,9.99991e-005  ,2.23263e-005  ,-2.93989e-004  ,6.76748e-004
4  ,2.65438e-004  ,-1.01941e-004  ,-6.21709e-005  ,1.13675e-004  ,1.74362e-005  ,-1.04369e-004
5  ,-2.43167e-005  ,4.98717e-006  ,5.69104e-006  ,3.15154e-004  ,9.49565e-006  ,3.82458e-006
6  ,1.38765e-003  ,-5.27118e-004  ,-3.17411e-004  ,1.79646e-004  ,1.30319e-004  ,-1.73470e-005
7  ,1.01890e-003  ,-3.89593e-004  ,-2.26822e-004  ,2.37929e-004  ,1.19094e-004  ,-8.55089e-005
8  ,2.15933e-004  ,-8.04376e-005  ,-5.43670e-005  ,1.76611e-004  ,-1.90994e-006  ,-2.88859e-005
9  ,1.79537e-003  ,-6.72174e-004  ,-4.34637e-004  ,7.81320e-005  ,-7.37733e-005  ,5.97875e-006
10  ,-8.32448e-004  ,3.34386e-004  ,1.67851e-004  ,2.68432e-004  ,-1.96009e-004  ,6.76395e-005
11  ,2.68784e-004  ,-1.07134e-004  ,-5.56976e-005  ,2.54496e-004  ,-9.54735e-006  ,-4.31584e-006
12  ,4.83921e-004  ,-2.01155e-004  ,-8.79640e-005  ,2.37471e-004  ,1.02167e-004  ,1.03022e-004
13  ,1.86476e-005  ,1.35089e-005  ,-1.42632e-005  ,-5.92115e-005  ,-5.14179e-006  ,3.55217e-006
14  ,-2.76348e-005  ,-4.93173e-006  ,1.65628e-005  ,5.96061e-005  ,4.11753e-006  ,-2.17171e-006
15  ,-4.62514e-004  ,1.98181e-004  ,7.81570e-005  ,1.59394e-004  ,1.58624e-004  ,-8.22221e-005
16  ,-1.50294e-005  ,1.94941e-005  ,-3.43559e-006  ,2.24324e-004  ,-4.44981e-005  ,1.07991e-004
17  ,6.32025e-004  ,-2.43763e-004  ,-1.48344e-004  ,5.11690e-005  ,-1.11836e-004  ,1.71153e-004
18  ,1.88299e-003  ,-6.89516e-004  ,-4.91747e-004  ,1.22094e-005  ,-1.79451e-004  ,4.44390e-005
19  ,-4.83041e-004  ,1.60171e-004  ,1.56330e-004  ,-1.61683e-006  ,3.10813e-005  ,2.18957e-005
20  ,1.06973e-003  ,-3.70691e-004  ,-3.28495e-004  ,-4.84242e-005  ,-6.56591e-005  ,2.33181e-005
21  ,1.67414e-003  ,-6.06015e-004  ,-4.55845e-004  ,-6.98224e-005  ,-3.10694e-004  ,1.29893e-004
22  ,-9.17169e-004  ,3.20092e-004  ,2.60527e-004  ,3.47823e-005  ,1.27696e-004  ,9.95412e-005
23  ,1.85706e-003  ,-6.37545e-004  ,-5.63961e-004  ,-6.50210e-005  ,-1.79311e-004  ,2.45532e-005
24  ,2.87768e-005  ,5.23177e-006  ,-1.62613e-005  ,-5.97098e-005  ,-4.73427e-007  ,4.62240e-006
25  ,-3.56399e-006  ,1.50421e-006  ,7.88525e-006  ,-1.29862e-005  ,1.38436e-005  ,-1.45326e-005
26  ,-7.28435e-006  ,4.76602e-006  ,-9.19810e-007  ,3.28337e-006  ,-1.34482e-005  ,4.00815e-006
27  ,-4.67428e-006  ,2.83468e-006  ,2.15503e-006  ,-1.69853e-006  ,-3.64416e-006  ,-4.88592e-006
28  ,-5.92544e-006  ,5.01135e-006  ,-8.65091e-006  ,1.61954e-005  ,-3.23083e-005  ,1.87491e-005
